stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,1,3,0.0,0,0.0,0,1,3.0,1,3.0,0,0,0,0.0,0.0,0.0,0.0,-0.49
,,4,360,4.0,4,90.0,4,0,0.0,0,0.75,1,7,-6,-1.5,2.9,8.7,-5.7,-1.43
,,4,360,4.0,4,90.0,4,0,0.0,0,0.25,2,8,-6,-1.5,3.3,6.6,-3.3,-0.82
,,2,113,1.3,1,90.0,1,1,23.0,0,1.5,2,2,0,0.0,3.0,0.9,2.1,1.69
,,1,22,0.2,0,0.0,0,1,22.0,0,0.0,0,0,0,0.0,1.0,0.2,0.8,3.1
,,4,317,3.5,4,79.0,0,0,0.0,0,1.75,4,2,2,0.57,4.2,3.0,1.2,0.35
,,4,293,3.3,4,73.0,0,0,0.0,0,1.0,1,6,-5,-1.54,4.0,7.1,-3.0,-0.92
,,4,323,3.6,4,81.0,2,0,0.0,0,1.25,2,4,-2,-0.56,3.9,2.7,1.3,0.35
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,282,3.1,3,86.0,2,1,23.0,0,0.25,2,8,-6,-1.91,2.9,4.4,-1.5,-0.46
,,1,26,0.3,0,0.0,0,1,26.0,1,1.0,0,1,-1,-3.46,0.1,1.0,-1.0,-3.42
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,1,0.0,0,0.0,0,1,1.0,2,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,90.0,4,0,0.0,0,1.75,6,6,0,0.0,2.8,7.4,-4.6,-1.14
,,3,244,2.7,3,81.0,2,0,0.0,1,2.33,3,0,3,1.11,5.2,1.9,3.3,1.22
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,225,2.5,3,75.0,1,0,0.0,0,0.33,1,4,-3,-1.2,1.5,4.4,-2.9,-1.18
,,3,87,1.0,1,58.0,0,2,15.0,0,0.0,0,2,-2,-2.07,0.2,2.4,-2.2,-2.26
,,4,298,3.3,4,75.0,1,0,0.0,0,0.75,6,7,-1,-0.3,6.0,6.9,-0.9,-0.28
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,180,2.0,2,90.0,2,0,0.0,0,0.5,2,4,-2,-1.0,0.9,5.1,-4.2,-2.08
,,4,284,3.2,3,87.0,2,1,22.0,0,2.5,5,1,4,1.27,6.3,2.7,3.6,1.13
,,3,186,2.1,2,71.0,1,1,45.0,0,1.0,1,6,-5,-2.42,2.6,5.7,-3.1,-1.51
,,4,276,3.1,4,69.0,0,0,0.0,0,1.0,4,5,-1,-0.33,3.6,4.1,-0.4,-0.14
,,1,71,0.8,1,71.0,0,0,0.0,0,1.0,1,1,0,0.0,0.7,2.2,-1.4,-1.83
,,3,245,2.7,3,82.0,0,0,0.0,1,1.0,3,7,-4,-1.47,3.8,5.4,-1.6,-0.6
,,4,287,3.2,3,90.0,3,1,17.0,0,1.75,4,2,2,0.63,3.7,3.5,0.2,0.06
,,4,360,4.0,4,90.0,4,0,0.0,0,2.5,12,4,8,2.0,6.9,5.0,1.9,0.47
,,4,344,3.8,4,86.0,2,0,0.0,0,0.75,1,7,-6,-1.57,2.9,8.3,-5.5,-1.44
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,3,4,-1,-0.33,3.5,4.4,-0.9,-0.31
,,3,167,1.9,1,90.0,1,2,39.0,0,1.0,1,4,-3,-1.62,2.2,4.4,-2.2,-1.19
,,4,288,3.2,4,72.0,1,0,0.0,0,0.25,1,6,-5,-1.56,1.8,5.2,-3.4,-1.05
,,3,168,1.9,2,61.0,0,1,47.0,0,2.0,3,2,1,0.54,3.0,2.4,0.6,0.3
,,4,265,2.9,4,66.0,0,0,0.0,0,3.0,9,2,7,2.38,8.8,2.4,6.3,2.15
,,4,238,2.6,3,73.0,1,1,19.0,0,1.5,6,2,4,1.51,3.2,2.2,1.0,0.37
,,1,11,0.1,0,0.0,0,1,11.0,3,0.0,0,1,-1,-8.18,0.1,0.2,-0.1,-0.89
,,4,341,3.8,4,85.0,3,0,0.0,0,1.75,6,5,1,0.26,2.8,6.8,-4.0,-1.05
,,4,81,0.9,0,0.0,0,4,20.0,0,0.75,1,3,-2,-2.22,0.6,2.9,-2.3,-2.55
,,1,6,0.1,0,0.0,0,1,6.0,0,1.0,0,0,0,0.0,0.2,0.0,0.2,2.44
,,3,87,1.0,0,0.0,0,3,29.0,0,1.33,4,0,4,4.14,2.3,0.3,2.0,2.07
,,3,170,1.9,3,57.0,0,0,0.0,1,1.0,2,3,-1,-0.53,2.5,2.3,0.2,0.11
,,1,15,0.2,0,0.0,0,1,15.0,0,0.0,0,0,0,0.0,0.3,0.1,0.2,1.14
,,4,360,4.0,4,90.0,4,0,0.0,0,1.25,8,7,1,0.25,6.6,6.2,0.4,0.1
,,2,180,2.0,2,90.0,2,0,0.0,1,2.0,7,3,4,2.0,5.4,2.2,3.2,1.62
,,3,159,1.8,2,66.0,0,1,27.0,1,2.33,2,0,2,1.13,3.5,1.6,1.9,1.08
,,3,242,2.7,3,81.0,1,0,0.0,1,0.0,1,5,-4,-1.49,2.1,3.8,-1.7,-0.65
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,216,2.4,3,65.0,0,1,20.0,0,3.0,11,1,10,4.17,8.4,2.3,6.1,2.57
,,3,262,2.9,3,87.0,2,0,0.0,0,1.33,5,4,1,0.34,5.2,2.9,2.3,0.79
,,1,8,0.1,0,0.0,0,1,8.0,3,0.0,0,0,0,0.0,0.1,0.3,-0.2,-2.7
,,4,360,4.0,4,90.0,4,0,0.0,0,0.75,1,7,-6,-1.5,2.9,8.7,-5.7,-1.43
,,1,90,1.0,1,90.0,1,0,0.0,0,1.0,1,1,0,0.0,0.9,2.3,-1.3,-1.34
,,4,252,2.8,3,78.0,1,1,18.0,0,0.25,1,6,-5,-1.79,2.2,3.9,-1.7,-0.62
,,4,283,3.1,4,71.0,0,0,0.0,0,2.5,4,0,4,1.27,6.5,2.1,4.4,1.41
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,170,1.9,2,85.0,1,0,0.0,2,0.0,0,5,-5,-2.65,2.1,3.9,-1.9,-0.99
,,3,270,3.0,3,90.0,3,0,0.0,1,3.0,10,3,7,2.33,8.2,2.6,5.7,1.89
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,103,1.1,1,90.0,1,1,13.0,2,0.5,1,2,-1,-0.87,0.9,2.6,-1.6,-1.43
,,4,360,4.0,4,90.0,4,0,0.0,0,0.75,6,10,-4,-1.0,6.3,8.3,-2.0,-0.5
,,4,333,3.7,4,83.0,2,0,0.0,0,1.5,8,5,3,0.81,4.4,4.3,0.1,0.02
,,2,52,0.6,0,0.0,0,2,26.0,0,0.0,0,1,-1,-1.73,0.4,1.1,-0.7,-1.18
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,95,1.1,1,68.0,0,1,27.0,0,1.5,2,3,-1,-0.95,2.0,1.5,0.6,0.55
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,154,1.7,2,77.0,1,0,0.0,0,2.0,3,1,2,1.17,2.3,1.4,1.0,0.57
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,76,0.8,1,56.0,0,2,10.0,1,2.0,2,1,1,1.18,1.7,0.7,1.0,1.19
,,4,123,1.4,1,63.0,0,3,20.0,0,1.0,2,1,1,0.73,2.3,1.0,1.4,1.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,0,1.33,6,4,2,0.67,4.2,4.2,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,80,0.9,1,80.0,0,0,0.0,0,3.0,2,0,2,2.25,1.9,1.9,0.0,0.02
,,2,76,0.8,1,63.0,0,1,13.0,1,0.5,1,1,0,0.0,0.7,1.9,-1.2,-1.42
,,3,270,3.0,3,90.0,3,0,0.0,0,2.33,7,3,4,1.33,4.5,3.7,0.8,0.28
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,175,1.9,2,88.0,1,0,0.0,0,3.0,4,2,2,1.03,1.9,2.3,-0.4,-0.21
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,90.0,4,0,0.0,0,1.0,6,6,0,0.0,6.1,4.9,1.2,0.3
,,4,171,1.9,2,71.0,0,2,15.0,0,1.5,2,2,0,0.0,2.5,1.4,1.1,0.59
,,4,314,3.5,4,79.0,2,0,0.0,0,0.75,1,7,-6,-1.72,2.4,8.0,-5.6,-1.62
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,359,4.0,4,90.0,3,0,0.0,0,1.0,4,8,-4,-1.0,5.5,8.0,-2.5,-0.62
,,1,4,0.0,0,0.0,0,1,4.0,2,0.0,0,1,-1,-22.5,0.1,0.1,0.0,-0.01
,,3,268,3.0,3,89.0,1,0,0.0,0,3.0,6,0,6,2.01,7.6,1.0,6.5,2.2
,,4,349,3.9,4,87.0,3,0,0.0,0,0.75,6,10,-4,-1.03,6.1,8.2,-2.1,-0.54
,,2,26,0.3,0,0.0,0,2,13.0,1,1.5,0,0,0,0.0,0.1,0.0,0.1,0.4
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,172,1.9,2,73.0,0,1,27.0,1,0.0,1,4,-3,-1.57,1.5,2.8,-1.3,-0.67
,,4,344,3.8,4,86.0,2,0,0.0,0,1.0,4,7,-3,-0.78,5.4,7.6,-2.2,-0.59
