stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.0,4,0,3,1,0,0,4,0,0,0.0,0,0.0,2,16.0,9.0,1,0,0,1,0,3,0
,,4.0,224,52,137,81,6,2,224,2,1,50.0,1,50.0,112,640.0,350.0,2,0,0,6,1,130,2
,,4.0,314,6,42,163,110,12,313,19,5,26.3,14,73.7,164,1071.0,621.0,16,7,5,9,8,211,16
,,1.3,71,8,34,35,2,0,71,0,0,0.0,0,0.0,34,163.0,96.0,1,0,0,1,0,41,0
,,0.2,16,1,3,6,7,2,16,0,0,0.0,0,0.0,11,39.0,23.0,1,1,1,1,0,10,2
,,3.5,104,6,10,32,66,21,104,10,4,40.0,5,50.0,72,526.0,259.0,14,5,7,12,6,93,27
,,3.3,218,12,51,95,73,10,218,2,1,50.0,1,50.0,107,484.0,300.0,10,1,3,8,0,123,21
,,3.6,102,0,3,42,59,17,102,6,2,33.3,4,66.7,61,282.0,161.0,7,4,3,9,5,74,26
,,3.1,60,1,5,32,23,9,60,3,1,33.3,1,33.3,33,147.0,43.0,1,0,1,4,4,43,15
,,0.3,14,2,8,4,2,1,14,0,0,0.0,0,0.0,6,35.0,9.0,1,0,1,0,0,9,1
,,0.0,5,1,2,3,0,0,5,0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,1,0
,,4.0,331,63,184,136,13,2,331,5,4,80.0,1,20.0,199,1159.0,626.0,4,4,0,1,3,228,0
,,2.7,201,2,46,93,65,8,201,2,1,50.0,1,50.0,87,348.0,159.0,2,4,0,3,0,113,24
,,2.5,133,5,21,86,28,3,133,4,2,50.0,1,25.0,57,239.0,146.0,4,1,0,4,4,85,1
,,1.0,31,0,7,15,9,1,31,3,0,0.0,3,100.0,24,109.0,44.0,2,1,0,4,6,25,6
,,3.3,121,4,9,63,49,12,121,3,1,33.3,2,66.7,51,132.0,43.0,1,2,1,5,1,90,16
,,2.0,80,7,35,26,21,3,80,7,5,71.4,2,28.6,38,323.0,211.0,8,3,1,1,0,42,6
,,3.2,204,3,34,80,93,14,204,14,7,50.0,7,50.0,129,885.0,432.0,15,9,7,8,5,154,27
,,2.1,148,12,41,65,43,1,148,3,0,0.0,2,66.7,88,486.0,265.0,8,5,0,1,3,99,10
,,3.1,110,1,9,43,60,14,110,14,1,7.1,9,64.3,68,530.0,161.0,6,7,4,14,5,81,23
,,0.8,34,0,5,13,16,6,34,2,1,50.0,1,50.0,21,107.0,24.0,1,1,1,2,3,28,6
,,2.7,169,6,54,89,30,0,169,1,0,0.0,1,100.0,73,439.0,295.0,8,6,0,3,2,100,2
,,3.2,170,11,49,67,59,2,170,2,1,50.0,1,50.0,77,423.0,250.0,9,7,0,1,4,92,14
,,4.0,296,5,92,159,47,3,296,5,2,40.0,3,60.0,186,773.0,341.0,5,3,0,1,3,197,8
