stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,2,1,50.0,0.5,0.25,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
,,4.0,1,6,1,16.7,1.5,0.25,0.0,0.0,23.9,0,1,1,1.0,0.3,0.04,0.0,-0.3
,,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.2,0,1,0,0.0,4.09,0.0,0.0,0.0,9.4,0,0,0,0.4,0.4,0.38,-0.4,-0.4
,,3.5,1,16,5,31.3,4.54,1.42,0.06,0.2,14.8,0,0,0,1.0,1.0,0.07,0.0,0.0
,,3.3,0,3,2,66.7,0.92,0.61,0.0,0.0,19.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,3.6,0,10,5,50.0,2.79,1.39,0.0,0.0,13.9,0,0,0,1.3,1.3,0.13,-1.3,-1.3
,,3.1,1,6,5,83.3,1.91,1.6,0.17,0.2,13.1,0,0,0,1.0,1.0,0.17,0.0,0.0
,,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,5,3,60.0,1.25,0.75,0.0,0.0,24.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
,,2.7,0,2,0,0.0,0.74,0.0,0.0,0.0,13.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
,,2.5,0,3,0,0.0,1.2,0.0,0.0,0.0,16.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,1.0,0,2,0,0.0,2.07,0.0,0.0,0.0,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,3.3,1,5,2,40.0,1.51,0.6,0.2,0.5,12.6,0,0,0,0.8,0.8,0.16,0.2,0.2
,,2.0,1,2,1,50.0,1.0,0.5,0.5,1.0,15.2,0,0,0,0.1,0.1,0.05,0.9,0.9
,,3.2,0,8,1,12.5,2.54,0.32,0.0,0.0,17.7,0,0,0,0.8,0.8,0.1,-0.8,-0.8
,,2.1,0,1,0,0.0,0.48,0.0,0.0,0.0,19.5,0,0,0,0.0,0.0,0.04,0.0,0.0
,,3.1,1,4,3,75.0,1.3,0.98,0.25,0.33,14.8,0,0,0,0.8,0.8,0.2,0.2,0.2
,,0.8,0,2,0,0.0,2.54,0.0,0.0,0.0,12.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
,,2.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,24.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1
,,3.8,0,2,0,0.0,0.52,0.0,0.0,0.0,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
