stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,1,3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.06,0.2,0.06,0.0,0.0,0.2,0.06
,,4,360,4.0,4,1,0.25,0,0.0,1,0.25,0,0.0,1,1,0,0,1.0,0.26,0.3,0.06,0.9,0.22,1.1,0.28
,,2,113,1.3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,22,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,1.57,0.4,1.57,0.5,2.1,0.9,3.67
,,4,317,3.5,4,1,0.28,0,0.0,1,0.28,1,0.28,0,0,0,0,1.0,0.3,1.0,0.3,0.6,0.18,1.7,0.48
,,4,293,3.3,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.04,0.1,0.04,0.3,0.08,0.4,0.12
,,4,323,3.6,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,1.3,0.36,1.3,0.36,0.1,0.03,1.4,0.39
,,4,282,3.1,3,1,0.32,0,0.0,1,0.32,1,0.32,0,0,0,0,1.0,0.33,1.0,0.33,0.1,0.03,1.1,0.36
,,1,26,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.08,0.3,0.08,0.1,0.02,0.4,0.1
,,3,244,2.7,3,0,0.0,1,0.37,1,0.37,0,0.0,0,0,1,0,0.2,0.06,0.2,0.06,0.7,0.25,0.8,0.31
,,3,225,2.5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.05,0.1,0.05,0.0,0.02,0.2,0.07
