stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,0.3,1,3.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.8,4,4.74,3,0,0,1,0,0,1,1.18,1,0,0,0,0,0
,,3.6,9,2.51,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,3.3,6,1.84,4,1,0,1,0,0,2,0.61,1,1,0,0,0,0
,,3.2,3,0.93,3,0,0,0,0,0,1,0.31,1,0,0,0,0,0
,,4.0,4,1.0,4,0,0,0,0,0,1,0.25,1,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.5,14,4.03,12,2,0,0,0,0,1,0.29,1,0,0,0,0,0
,,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,2,18.0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,6,2.23,2,2,1,1,0,0,1,0.37,0,1,0,0,0,0
,,0.9,2,2.22,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,3,1.09,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,0.0,1,90.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,1,0.44,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.6,1,0.62,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,3.5,1,0.29,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.5,5,2.0,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,4,1.76,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.4,1,2.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,9,4.85,4,0,1,2,2,0,1,0.54,1,0,0,0,0,0
,,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,3,1.53,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,5,2.53,3,1,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,9,4.09,7,0,1,1,0,0,0,0.0,0,0,0,0,0,0
,,1.0,5,5.06,5,0,0,0,0,0,2,2.02,2,0,0,0,0,0
,,1.8,8,4.53,6,0,2,0,0,0,2,1.13,1,0,1,0,0,0
,,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,4,1.03,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,8,2.71,2,0,1,1,2,2,1,0.34,0,0,0,0,0,1
,,1.7,4,2.35,2,0,0,1,0,1,0,0.0,0,0,0,0,0,0
,,0.5,2,4.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.4,1,2.65,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,9,2.29,4,4,0,0,1,0,1,0.25,1,0,0,0,0,0
,,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.7,5,2.96,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,6,3.21,4,1,0,0,0,1,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.7,14,3.74,7,5,1,0,1,0,1,0.27,1,0,0,0,0,0
,,0.9,2,2.31,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.5,6,1.73,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,6,3.16,4,2,0,0,0,0,1,0.53,0,1,0,0,0,0
,,4.0,3,0.75,1,1,0,1,0,0,1,0.25,0,1,0,0,0,0
,,1.3,1,0.79,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,3.8,4,1.04,4,0,0,0,0,0,1,0.26,1,0,0,0,0,0
,,0.8,3,3.8,3,0,0,0,0,0,1,1.27,1,0,0,0,0,0
,,0.2,3,12.86,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.6,3,0.84,3,0,0,0,0,0,1,0.28,1,0,0,0,0,0
,,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.5,8,3.14,7,1,0,0,0,0,2,0.79,2,0,0,0,0,0
,,1.1,1,0.94,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.8,2,2.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.5,12,4.84,11,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.5,1,2.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,1,1.0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,4,1.0,1,1,1,1,0,0,1,0.25,0,0,0,1,0,0
,,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,5,1.25,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,9,2.29,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,4,1.8,2,2,0,0,0,0,1,0.45,0,1,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.8,5,1.32,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.1,12,3.84,6,2,2,0,1,1,1,0.32,1,0,0,0,0,0
,,4.0,8,2.0,8,0,0,0,0,0,1,0.25,1,0,0,0,0,0
,,2.3,7,3.06,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,11,2.75,3,5,2,1,0,0,2,0.5,1,0,1,0,0,0
,,2.3,1,0.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,28,7.08,18,9,0,1,0,0,1,0.25,1,0,0,0,0,0
,,3.3,3,0.92,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,16,5.52,14,2,0,0,0,0,1,0.34,1,0,0,0,0,0
,,3.1,3,0.97,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,3.2,16,5.03,11,0,3,1,1,0,2,0.63,2,0,0,0,0,0
,,1.4,12,8.64,7,0,3,0,2,0,1,0.72,1,0,0,0,0,0
,,3.4,6,1.76,5,1,0,0,0,0,2,0.59,2,0,0,0,0,0
,,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,2,0.86,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.5,7,2.78,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,1.2,3,2.55,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.4,1,0.71,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,2,1.94,1,0,0,1,0,0,1,0.97,0,0,0,1,0,0
,,4.0,12,3.0,9,1,0,1,0,1,0,0.0,0,0,0,0,0,0
,,0.5,3,5.87,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.8,4,1.04,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,1,0.84,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,1,0.25,1,0,0,0,0,0,1,0.25,1,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,4,5.54,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,2.9,12,4.12,8,3,0,1,0,0,1,0.34,1,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,5,10.71,3,1,1,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.9,5,5.84,3,2,0,0,0,0,2,2.34,0,2,0,0,0,0
,,0.2,3,15.0,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,6,2.67,2,0,0,1,3,0,0,0.0,0,0,0,0,0,0
,,0.3,1,3.75,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,24,6.0,15,4,2,2,1,0,1,0.25,1,0,0,0,0,0
,,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,6,2.03,3,0,1,0,2,0,1,0.34,1,0,0,0,0,0
,,0.9,3,3.14,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,11,2.84,11,0,0,0,0,0,1,0.26,1,0,0,0,0,0
,,1.6,2,1.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,8,2.67,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,4.0,1,0.25,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,5,1.25,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,1,18.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,1,1.05,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,3.7,5,1.36,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.6,6,3.8,6,0,0,0,0,0,1,0.63,1,0,0,0,0,0
,,0.7,1,1.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,19,4.9,17,0,1,1,0,0,2,0.52,1,0,0,1,0,0
,,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.6,6,1.68,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,3,1.0,3,0,0,0,0,0,1,0.33,1,0,0,0,0,0
,,3.7,13,3.48,8,2,2,0,1,0,0,0.0,0,0,0,0,0,0
,,4.0,5,1.25,5,0,0,0,0,0,2,0.5,2,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,11,5.69,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,8,2.02,7,0,1,0,0,0,1,0.25,1,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,7,4.74,6,0,1,0,0,0,1,0.68,1,0,0,0,0,0
,,2.8,3,1.07,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.5,9,2.6,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,6,1.5,2,0,2,1,1,0,2,0.5,0,0,2,0,0,0
,,2.3,4,1.76,3,1,0,0,0,0,1,0.44,1,0,0,0,0,0
,,0.4,1,2.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.3,11,3.38,9,0,0,1,1,0,2,0.61,1,0,0,0,1,0
,,2.6,3,1.17,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,9,2.25,7,0,0,2,0,0,1,0.25,1,0,0,0,0,0
,,4.0,7,1.75,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.2,4,1.8,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,21,5.26,16,0,3,0,2,0,1,0.25,1,0,0,0,0,0
,,3.7,7,1.87,4,2,0,0,1,0,1,0.27,1,0,0,0,0,0
,,0.4,1,2.81,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.1,16,5.22,13,1,0,0,2,0,1,0.33,0,0,0,0,1,0
,,2.0,4,2.03,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,2,1.73,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,4,1.02,2,0,2,0,0,0,1,0.26,1,0,0,0,0,0
,,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,8,2.06,4,0,1,0,1,2,0,0.0,0,0,0,0,0,0
,,3.5,7,2.0,5,0,0,0,0,2,2,0.57,1,0,0,0,0,1
,,3.7,17,4.62,13,0,2,1,1,0,1,0.27,1,0,0,0,0,0
,,3.3,7,2.1,7,0,0,0,0,0,2,0.6,2,0,0,0,0,0
,,3.2,6,1.86,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,2,6.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.6,9,3.4,7,2,0,0,0,0,2,0.76,1,1,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,9,3.1,7,0,1,0,1,0,1,0.34,1,0,0,0,0,0
,,3.5,3,0.86,3,0,0,0,0,0,1,0.29,1,0,0,0,0,0
,,1.4,1,0.73,1,0,0,0,0,0,1,0.73,1,0,0,0,0,0
,,3.1,4,1.29,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.1,5,1.59,3,0,0,2,0,0,1,0.32,1,0,0,0,0,0
,,4.0,2,0.5,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.3,3,11.25,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,2.3,11,4.69,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,4.0,4,1.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.8,1,0.56,1,0,0,0,0,0,1,0.56,1,0,0,0,0,0
,,3.7,8,2.15,6,0,0,0,0,2,1,0.27,1,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,5,1.25,4,0,1,0,0,0,2,0.5,1,0,1,0,0,0
,,2.9,12,4.12,11,0,1,0,0,0,3,1.03,3,0,0,0,0,0
,,3.3,1,0.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,7,2.3,6,0,1,0,0,0,2,0.66,1,0,1,0,0,0
,,2.7,3,1.12,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,4.0,12,3.03,9,0,2,1,0,0,0,0.0,0,0,0,0,0,0
,,2.9,20,6.98,13,4,2,0,1,0,2,0.7,1,0,1,0,0,0
,,1.0,3,3.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.4,2,4.86,2,0,0,0,0,0,1,2.43,1,0,0,0,0,0
,,0.7,1,1.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,9,2.26,8,0,1,0,0,0,1,0.25,1,0,0,0,0,0
,,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.9,3,3.42,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.5,5,1.43,5,0,0,0,0,0,1,0.29,1,0,0,0,0,0
,,2.1,2,0.96,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,2.0,1,0.51,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,1,2.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.3,1,0.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.7,4,1.09,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,8,10.91,6,1,0,0,0,1,1,1.36,1,0,0,0,0,0
,,3.7,12,3.28,11,0,0,1,0,0,2,0.55,2,0,0,0,0,0
,,3.5,19,5.41,9,6,0,2,2,0,2,0.57,1,1,0,0,0,0
,,2.6,6,2.3,4,0,0,1,1,0,2,0.77,1,0,0,1,0,0
,,4.0,3,0.75,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,3,1.37,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,4,1.02,4,0,0,0,0,0,1,0.25,1,0,0,0,0,0
,,0.3,1,3.33,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,11,3.94,9,0,2,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.8,5,1.3,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,6,3.2,4,1,0,0,0,1,0,0.0,0,0,0,0,0,0
,,3.3,5,1.54,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.4,5,3.54,2,0,2,1,0,0,2,1.42,1,0,1,0,0,0
,,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.7,7,1.89,7,0,0,0,0,0,1,0.27,1,0,0,0,0,0
,,4.0,22,5.52,15,5,1,1,0,0,1,0.25,1,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
