stat_id,player_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,4.0,1,0,0,0,0,2.4,0.24,1.4,0.35,9,27,33.3,136,9,18.4,24.6,29,1,3.4,7,1.75,17.5
,,3.5,5,0,0,1,0,4.0,0.27,-1.0,-0.27,21,53,39.6,92,15,37.0,32.3,51,3,5.9,4,1.14,14.1
,,1.0,2,0,0,0,0,1.5,0.2,-0.5,-0.49,2,6,33.3,18,4,11.1,24.2,18,0,0.0,0,0.0,11.0
,,4.0,3,0,0,0,1,3.3,0.31,1.3,0.31,14,32,43.8,135,10,20.0,28.7,36,1,2.8,9,2.25,17.9
,,0.5,1,0,0,0,0,1.2,0.4,0.2,0.42,1,4,25.0,6,3,33.3,37.5,6,0,0.0,0,0.0,6.0
,,4.0,6,0,0,0,1,6.5,0.24,1.5,0.37,35,66,53.0,197,14,28.9,32.8,48,3,6.3,8,2.0,17.1
,,4.0,7,0,0,0,0,8.2,0.47,1.2,0.3,10,44,22.7,84,22,41.7,34.8,44,2,4.5,4,1.0,13.9
,,4.0,7,1,0,0,0,7.9,0.34,0.9,0.24,13,51,25.5,117,26,33.3,35.1,72,3,4.2,5,1.25,14.6
,,2.0,3,0,0,1,0,3.5,0.32,0.5,0.24,20,43,46.5,73,5,54.8,38.2,27,2,7.4,2,1.0,10.5
,,4.0,4,0,0,1,0,5.1,0.32,1.1,0.27,12,42,28.6,144,10,22.2,28.5,52,3,5.8,5,1.25,13.8
,,4.0,6,1,0,0,0,3.8,0.26,-2.2,-0.56,26,49,53.1,117,15,32.5,32.8,50,6,12.0,5,1.25,13.7
,,2.0,2,0,0,1,0,2.3,0.25,0.3,0.13,4,7,57.1,49,11,14.3,22.2,26,3,11.5,0,0.0,6.9
,,3.0,5,1,0,0,0,6.7,0.41,1.7,0.57,11,41,26.8,104,18,27.9,29.3,57,5,8.8,4,1.33,13.3
,,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,30,2,6.7,3,1.5,12.6
,,4.0,5,0,0,1,0,6.8,0.51,1.8,0.46,17,41,41.5,173,22,22.5,26.5,37,2,5.4,8,2.0,17.3
,,4.0,13,0,0,1,0,9.8,0.38,-3.2,-0.81,49,101,48.5,126,11,69.8,48.4,57,1,1.8,13,3.25,21.3
,,4.0,3,0,0,0,1,4.3,0.24,2.3,0.56,17,64,26.6,93,16,45.2,39.3,73,4,5.5,11,2.75,18.4
,,2.0,6,0,0,2,0,6.7,0.42,0.7,0.37,5,22,22.7,75,15,29.3,29.2,15,3,20.0,2,1.0,10.4
,,4.0,1,0,0,0,0,2.1,0.14,1.1,0.28,25,69,36.2,119,18,38.7,33.5,60,8,13.3,3,0.75,9.5
,,2.0,8,0,0,1,0,4.7,0.35,-3.3,-1.65,13,36,36.1,63,3,49.2,38.3,19,1,5.3,5,2.5,18.5
,,4.0,5,0,0,0,0,5.2,0.22,0.2,0.04,10,35,28.6,149,20,20.1,27.0,34,6,17.6,11,2.75,16.3
,,4.0,2,0,0,0,0,2.4,0.2,0.4,0.09,32,84,38.1,99,4,70.7,45.9,50,3,6.0,1,0.25,8.3
,,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,22,2,9.1,3,1.5,15.4
,,1.0,1,0,0,0,0,1.2,0.4,0.2,0.19,6,12,50.0,16,3,62.5,40.3,6,0,0.0,2,2.0,16.0
,,2.0,1,0,0,0,0,2.4,0.3,1.4,0.71,7,13,53.8,68,9,17.6,25.4,9,1,11.1,2,1.0,16.4
,,4.0,4,0,0,1,0,5.0,0.45,1.0,0.24,1,9,11.1,133,26,6.8,20.4,40,3,7.5,9,2.25,18.8
,,1.0,2,0,0,0,0,2.3,0.47,0.3,0.33,6,14,42.9,36,7,33.3,30.4,16,1,6.3,1,1.0,13.8
