stat_id,player_id,mp,starts,min,ninety_s,ga,ga_per_90,sota,saves,save_percent,w,d,l,cs,cs_percent,pkatt,pka,pk_sv,pk_missed
,,4,4,360,4.0,1,0.25,10,9,90.0,3,0,1,3,75.0,0,0,0,0
,,4,4,315,3.5,5,1.43,15,10,66.7,1,1,2,1,25.0,0,0,0,0
,,1,1,90,1.0,2,2.0,8,6,75.0,1,0,0,0,0.0,0,0,0,0
,,4,4,360,4.0,3,0.75,11,9,72.7,4,0,0,1,25.0,0,0,0,0
,,1,0,45,0.5,1,2.0,3,2,66.7,0,0,0,0,0.0,0,0,0,0
,,4,4,360,4.0,6,1.5,27,22,77.8,2,0,2,0,0.0,0,0,0,0
,,4,4,360,4.0,7,1.75,19,12,63.2,0,2,2,0,0.0,0,0,0,0
,,4,4,360,4.0,7,1.75,21,14,71.4,0,2,2,0,0.0,1,1,0,0
,,2,2,180,2.0,3,1.5,11,8,72.7,0,1,1,0,0.0,0,0,0,0
,,4,4,360,4.0,4,1.0,16,12,75.0,1,2,1,0,0.0,0,0,0,0
,,4,4,360,4.0,6,1.5,12,6,58.3,3,0,1,0,0.0,1,1,0,0
,,2,2,180,2.0,2,1.0,9,7,77.8,0,0,2,0,0.0,0,0,0,0
,,3,3,270,3.0,5,1.67,15,10,73.3,0,2,1,1,33.3,1,1,0,0
,,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0
,,4,4,360,4.0,5,1.25,12,6,58.3,2,0,2,2,50.0,1,0,1,0
,,4,4,360,4.0,13,3.25,26,13,50.0,0,0,4,0,0.0,0,0,0,0
,,4,4,360,4.0,3,0.75,18,16,83.3,3,1,0,1,25.0,0,0,0,0
,,2,2,180,2.0,6,3.0,17,11,64.7,0,0,2,0,0.0,0,0,0,0
,,4,4,360,4.0,1,0.25,15,14,93.3,3,1,0,3,75.0,0,0,0,0
,,2,2,180,2.0,8,4.0,14,6,42.9,0,0,2,0,0.0,0,0,0,0
,,4,4,360,4.0,5,1.25,19,13,73.7,2,1,1,1,25.0,1,0,1,0
,,4,4,360,4.0,2,0.5,12,10,83.3,2,2,0,2,50.0,0,0,0,0
,,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0
,,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0
,,2,2,180,2.0,1,0.5,8,7,87.5,0,2,0,1,50.0,0,0,0,0
,,4,4,360,4.0,4,1.0,11,7,63.6,1,1,2,1,25.0,0,0,0,0
,,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0
