stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,0.3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0.0
,,0.8,0,0,0,0,0,0,4,2,1,0,0,0,5,1,0,100.0
,,3.6,0,0,0,2,6,0,6,9,5,0,0,0,28,1,4,20.0
,,3.3,2,0,0,8,3,0,5,2,6,0,0,0,13,0,2,0.0
,,3.2,0,0,0,2,1,0,3,2,2,0,0,0,7,4,3,57.1
,,4.0,1,0,0,3,2,0,1,1,1,0,0,0,15,4,6,40.0
,,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0
,,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
,,3.5,1,0,0,1,2,0,20,0,4,0,0,0,15,0,3,0.0
,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,100.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,1.9,1,0,0,6,2,0,0,3,4,0,0,0,9,2,1,66.7
,,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
,,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0
,,1.0,0,0,0,0,2,0,0,1,2,0,0,0,7,5,1,83.3
,,2.7,1,0,0,4,5,0,10,3,8,0,0,0,21,5,4,55.6
,,0.9,1,0,0,3,2,0,0,0,1,0,0,0,8,0,0,0.0
,,2.8,0,0,0,3,1,1,6,0,0,0,0,0,6,3,7,30.0
,,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
,,2.3,0,0,0,3,1,0,2,2,2,0,0,0,14,1,4,20.0
,,1.6,0,0,0,1,2,0,1,0,1,0,0,0,2,0,2,0.0
,,3.5,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0.0
,,2.5,0,0,0,4,5,0,6,2,1,0,0,0,13,1,2,33.3
,,2.3,1,0,0,1,1,1,1,0,1,0,0,0,4,0,1,0.0
,,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,0.4,0,0,0,2,2,0,0,0,0,0,0,0,2,0,3,0.0
,,1.9,0,0,0,1,5,1,3,1,3,0,0,0,12,1,2,33.3
,,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0
,,2.0,1,0,0,3,11,1,5,1,2,0,0,0,15,2,5,28.6
,,2.0,1,0,0,2,3,2,5,0,0,0,0,0,11,1,1,50.0
,,2.2,0,0,0,3,3,0,0,4,5,0,0,0,13,6,2,75.0
,,1.0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,100.0
,,1.8,0,0,0,1,1,0,5,1,1,0,0,0,6,1,1,50.0
,,4.0,1,0,0,4,6,0,0,2,3,0,0,0,17,3,4,42.9
,,3.9,1,0,0,2,3,0,0,4,0,0,0,0,24,4,4,50.0
,,3.0,1,0,0,7,6,0,3,4,3,0,0,0,9,0,6,0.0
,,1.7,3,0,0,4,0,0,0,4,3,0,0,0,6,1,2,33.3
,,0.5,0,0,0,1,0,0,0,2,1,0,0,0,4,3,0,100.0
,,0.4,0,0,0,1,1,0,4,0,1,0,0,0,4,0,0,0.0
,,3.9,1,0,0,3,5,0,13,6,7,0,0,0,10,3,10,23.1
,,0.5,0,0,0,3,0,1,0,0,0,0,0,0,0,4,2,66.7
,,0.3,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,50.0
,,1.7,1,0,0,2,1,0,0,2,3,0,0,0,5,0,1,0.0
,,1.9,1,0,0,5,3,0,0,1,4,0,0,0,6,1,1,50.0
,,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,0,100.0
,,3.7,0,0,0,6,4,0,17,1,3,0,0,0,15,0,4,0.0
