stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,0.3,41,35,5,2,0,0,0,0,0,0,0,0,37,1,1
,,0.8,43,42,0,0,0,0,4,0,0,0,0,0,27,1,0
,,3.6,180,140,40,4,0,0,6,36,0,0,0,0,142,0,5
,,3.3,137,105,31,8,0,0,5,21,2,0,1,0,120,1,0
,,3.2,130,114,16,1,0,1,3,15,0,0,0,0,101,0,9
,,4.0,368,364,3,0,0,2,1,3,0,0,0,0,356,1,2
,,0.0,7,4,3,1,0,0,0,2,0,0,0,0,6,0,1
,,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
,,3.5,243,196,46,5,3,2,20,29,12,8,2,0,172,1,4
,,4.0,144,132,12,4,0,0,0,0,0,0,0,0,121,0,0
,,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
,,1.9,82,78,3,2,1,3,0,1,0,0,0,0,71,1,0
,,0.1,5,4,1,0,0,0,1,0,1,0,0,0,5,0,0
,,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
,,1.0,72,60,12,10,0,3,0,1,0,0,0,0,59,0,0
,,2.7,123,107,16,8,0,0,10,0,4,3,1,0,93,0,2
,,0.9,45,45,0,0,1,1,0,0,0,0,0,0,44,0,0
,,2.8,46,38,7,0,0,0,6,4,0,0,0,0,22,1,5
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
,,2.3,93,78,15,0,0,0,2,15,0,0,0,0,72,0,1
,,1.6,21,17,4,0,0,0,1,0,0,0,0,0,18,0,0
,,3.5,131,82,48,10,0,0,0,0,0,0,0,0,95,1,0
,,2.5,125,123,1,0,0,0,6,1,0,0,0,0,108,1,4
,,2.3,58,54,4,0,0,1,1,2,0,0,0,0,49,0,5
,,0.0,4,3,0,0,0,0,1,0,0,0,0,0,1,1,0
,,1.0,32,17,15,1,0,0,0,0,0,0,0,0,27,0,0
,,0.4,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
,,1.9,79,77,2,1,2,0,3,0,1,0,1,0,59,0,2
,,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
,,2.0,49,47,2,1,0,1,5,0,0,0,0,0,40,0,2
,,2.0,53,50,3,0,2,0,5,0,3,3,0,0,29,0,2
,,2.2,94,93,0,0,1,0,0,0,0,0,0,0,84,1,0
,,1.0,74,73,0,0,0,2,0,0,0,0,0,0,70,1,0
,,1.8,40,38,1,0,0,0,5,1,0,0,0,0,30,1,0
,,4.0,252,234,17,6,0,2,0,0,0,0,0,0,220,1,3
,,3.9,370,353,17,5,0,0,0,0,0,0,0,0,348,0,1
,,3.0,63,61,2,0,0,1,3,0,0,0,0,0,50,0,5
,,1.7,115,112,3,3,0,0,0,0,0,0,0,0,109,0,1
,,0.5,22,21,1,1,0,0,0,0,0,0,0,0,21,0,0
,,0.4,45,39,6,1,0,0,4,2,3,1,2,0,39,0,0
,,3.9,186,142,42,11,0,1,13,28,3,2,1,0,134,2,1
,,0.5,8,6,2,0,0,1,0,0,0,0,0,0,3,0,0
,,0.3,13,10,2,0,0,0,3,1,1,1,0,0,6,1,0
,,1.7,141,138,3,3,0,1,0,0,0,0,0,0,130,0,1
,,1.9,99,86,13,6,0,0,0,7,0,0,0,0,86,0,0
,,1.0,54,54,0,0,0,0,0,0,0,0,0,0,43,0,0
,,3.7,74,65,9,0,0,1,17,0,8,3,5,0,48,0,6
,,0.9,85,68,17,3,0,1,1,14,0,0,0,0,73,0,1
,,3.5,115,113,2,1,1,0,3,1,0,0,0,0,94,0,3
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
,,1.9,62,56,6,3,2,0,5,1,2,2,0,0,49,0,0
,,4.0,174,169,5,4,0,1,0,1,0,0,0,0,155,0,1
,,1.3,24,23,1,0,0,0,2,1,0,0,0,0,14,0,1
,,3.8,231,226,4,3,2,1,1,1,0,0,0,0,207,1,1
,,0.8,45,45,0,0,0,0,2,0,0,0,0,0,41,0,2
,,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
,,0.5,10,9,1,0,0,0,0,1,0,0,0,0,8,0,0
,,3.6,56,56,0,0,0,1,1,0,0,0,0,0,38,0,2
,,0.7,24,24,0,0,0,0,1,0,0,0,0,0,16,0,2
,,2.5,172,167,3,3,3,1,4,0,0,0,0,0,136,2,3
,,1.1,49,37,12,4,0,0,2,8,0,0,0,0,38,0,1
,,0.8,30,26,4,1,0,0,0,0,0,0,0,0,21,0,1
,,0.1,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0
,,0.2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1
,,2.5,104,101,2,2,0,0,3,0,0,0,0,0,81,1,1
,,0.5,14,11,2,0,0,0,2,1,1,1,0,0,9,1,0
,,1.7,74,74,0,0,0,1,0,0,0,0,0,0,57,0,4
,,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
,,1.0,43,32,11,0,0,0,1,11,0,0,0,0,32,0,0
,,4.0,196,187,9,7,0,1,0,2,0,0,0,0,175,0,0
,,0.5,19,19,0,0,0,0,0,0,0,0,0,0,15,0,2
,,4.0,299,282,16,8,2,0,0,0,0,0,0,0,277,1,2
,,3.9,173,149,24,11,1,1,16,0,13,10,1,0,127,0,2
,,0.3,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0
,,2.2,97,70,27,2,0,0,5,25,0,0,0,0,72,0,3
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3.8,254,217,37,3,1,0,6,34,0,0,0,0,222,0,1
,,3.1,98,76,22,5,3,2,19,3,7,3,4,0,70,0,3
,,4.0,269,233,36,7,1,1,6,29,0,0,0,0,232,0,6
,,2.3,91,85,5,1,3,0,4,0,1,1,0,0,72,1,0
,,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
,,4.0,144,108,35,8,2,0,14,20,7,4,1,0,107,1,3
,,2.3,122,105,17,8,1,5,0,0,0,0,0,0,100,0,0
,,4.0,321,276,44,4,3,4,29,11,24,6,4,1,259,1,10
,,3.3,30,30,0,0,2,1,0,0,0,0,0,0,17,0,2
,,1.2,60,54,6,1,0,0,1,5,0,0,0,0,53,0,2
,,0.4,29,29,0,0,0,0,0,0,0,0,0,0,23,0,0
,,2.9,155,138,14,1,1,0,8,5,8,5,0,1,128,3,3
,,3.1,271,261,10,5,0,1,1,0,0,0,0,0,261,0,2
,,3.2,107,103,3,0,0,0,1,3,0,0,0,0,94,1,1
,,1.4,66,59,6,2,0,1,5,1,3,2,0,0,55,1,1
,,3.4,184,143,41,8,1,1,20,27,6,6,0,0,142,0,6
,,3.0,143,133,10,10,0,0,0,0,0,0,0,0,118,0,1
,,0.7,57,48,9,4,0,0,0,5,0,0,0,0,50,0,0
,,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
,,2.3,105,80,25,4,0,1,2,21,0,0,0,0,74,0,2
,,2.5,110,108,1,0,2,0,9,0,1,0,0,0,93,1,2
,,1.2,53,52,0,0,0,0,0,0,0,0,0,0,38,1,0
,,1.4,37,30,7,0,0,0,2,0,0,0,0,0,26,0,0
,,1.0,49,49,0,0,0,0,0,0,0,0,0,0,45,0,1
,,4.0,264,254,10,10,2,0,1,0,0,0,0,0,244,0,2
,,0.5,52,46,6,4,0,0,2,0,2,1,1,0,41,0,1
,,1.0,48,43,5,4,0,0,0,1,0,0,0,0,41,0,1
,,3.8,346,310,36,14,1,2,0,3,0,0,0,0,319,0,0
,,1.2,33,31,1,0,2,0,0,0,0,0,0,0,20,1,0
