stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,0.3,37,41,90.2,635.0,306.0,13,14,92.9,23,23,100.0,1,2,50.0,0,0.0,0.0,0.0,1,0,0,2
,,0.8,27,43,62.8,322.0,47.0,21,27,77.8,5,10,50.0,1,3,33.3,1,0.6,0.5,0.5,1,0,0,0
,,3.6,142,180,78.9,2199.0,965.0,78,88,88.6,51,67,76.1,8,16,50.0,0,0.2,0.1,-0.1,2,15,1,21
,,3.3,120,137,87.6,1721.0,429.0,68,71,95.8,48,57,84.2,2,6,33.3,1,0.2,0.6,0.4,3,12,0,13
,,3.2,101,130,77.7,1633.0,577.0,51,58,87.9,43,52,82.7,5,10,50.0,0,0.0,0.0,0.0,1,9,1,12
,,4.0,356,368,96.7,5947.0,1598.0,169,173,97.7,164,165,99.4,20,23,87.0,0,0.3,0.1,-0.1,1,46,1,37
,,0.0,6,7,85.7,78.0,13.0,5,5,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,0.1,13,13,100.0,221.0,66.0,7,7,100.0,4,4,100.0,2,2,100.0,0,0.0,0.1,-0.1,1,4,1,6
,,3.5,172,243,70.8,3175.0,1361.0,86,96,89.6,56,79,70.9,27,60,45.0,0,1.8,1.4,-1.4,11,17,3,25
,,4.0,121,144,84.0,2481.0,1436.0,43,43,100.0,63,65,96.9,15,35,42.9,0,0.0,0.0,0.0,0,2,0,0
,,0.0,4,4,100.0,61.0,22.0,2,2,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,2
,,1.9,71,82,86.6,1167.0,309.0,34,37,91.9,27,30,90.0,8,11,72.7,0,0.2,0.1,-0.1,2,8,0,8
,,0.1,5,5,100.0,68.0,13.0,4,4,100.0,1,1,100.0,0,0,0.0,0,0.1,0.1,-0.1,1,0,1,0
,,1.0,61,83,73.5,1227.0,526.0,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,0,4
,,1.0,59,72,81.9,1283.0,488.0,18,19,94.7,30,34,88.2,10,18,55.6,0,0.0,0.0,0.0,0,4,0,4
,,2.7,93,123,75.6,1463.0,551.0,53,59,89.8,35,50,70.0,4,11,36.4,1,0.1,0.1,0.9,4,7,0,9
,,0.9,44,45,97.8,812.0,214.0,19,19,100.0,20,21,95.2,5,5,100.0,0,0.2,0.1,-0.1,1,5,0,3
,,2.8,22,46,47.8,518.0,62.0,4,12,33.3,11,18,61.1,6,8,75.0,0,0.0,0.0,0.0,0,2,0,3
,,0.0,1,2,50.0,13.0,0.0,1,2,50.0,0,0,0.0,0,0,0.0,0,0.1,0.1,-0.1,1,0,0,0
,,2.3,72,93,77.4,1269.0,449.0,34,37,91.9,31,37,83.8,6,14,42.9,0,0.0,0.0,0.0,0,9,0,6
,,1.6,18,21,85.7,237.0,14.0,11,12,91.7,6,8,75.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,2
,,3.5,95,131,72.5,2532.0,1815.0,23,23,100.0,41,42,97.6,30,64,46.9,0,0.0,0.0,0.0,0,1,0,0
,,2.5,108,125,86.4,1368.0,271.0,75,81,92.6,28,33,84.8,1,3,33.3,0,0.5,0.7,-0.7,3,5,0,11
,,2.3,49,58,84.5,644.0,84.0,30,32,93.8,15,17,88.2,1,2,50.0,0,0.1,0.1,-0.1,1,3,0,5
,,0.0,1,4,25.0,23.0,0.0,0,0,0.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.0,27,32,84.4,615.0,342.0,3,4,75.0,20,20,100.0,3,7,42.9,0,0.0,0.0,0.0,0,0,0,0
,,0.4,7,8,87.5,99.0,10.0,5,5,100.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,1.9,59,79,74.7,818.0,202.0,36,44,81.8,17,22,77.3,2,5,40.0,0,0.4,0.1,-0.1,2,5,1,8
,,0.2,8,10,80.0,167.0,4.0,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0
,,2.0,40,49,81.6,641.0,93.0,19,21,90.5,18,21,85.7,2,5,40.0,0,0.1,0.1,-0.1,2,3,2,5
,,2.0,29,53,54.7,425.0,142.0,18,26,69.2,8,14,57.1,2,8,25.0,0,0.2,0.1,-0.1,3,1,0,5
,,2.2,84,94,89.4,1335.0,312.0,40,41,97.6,36,44,81.8,7,7,100.0,0,0.1,0.1,-0.1,2,6,0,12
,,1.0,70,74,94.6,1138.0,172.0,38,38,100.0,25,27,92.6,6,7,85.7,1,0.1,0.1,0.9,2,7,0,4
,,1.8,30,40,75.0,407.0,164.0,23,25,92.0,6,13,46.2,1,1,100.0,1,0.7,1.2,-0.2,4,2,2,7
,,4.0,220,252,87.3,4201.0,1500.0,77,79,97.5,115,123,93.5,22,38,57.9,0,0.0,0.0,0.0,0,10,0,15
,,3.9,348,370,94.1,5868.0,1973.0,153,159,96.2,169,178,94.9,24,30,80.0,0,0.1,0.1,-0.1,2,20,0,12
,,3.0,50,63,79.4,761.0,86.0,31,33,93.9,16,18,88.9,3,6,50.0,0,0.0,0.0,0.0,1,4,0,4
,,1.7,109,115,94.8,1622.0,388.0,59,62,95.2,44,44,100.0,3,4,75.0,0,0.1,0.0,0.0,0,14,0,12
,,0.5,21,22,95.5,357.0,93.0,7,8,87.5,12,12,100.0,1,1,100.0,0,0.0,0.1,-0.1,3,4,0,2
,,0.4,39,45,86.7,569.0,134.0,23,25,92.0,11,14,78.6,3,4,75.0,0,0.2,0.2,-0.2,1,3,0,3
,,3.9,134,186,72.0,2300.0,807.0,67,77,87.0,53,73,72.6,12,29,41.4,0,0.2,0.1,-0.1,4,10,1,6
,,0.5,3,8,37.5,91.0,0.0,1,2,50.0,0,3,0.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,1
,,0.3,6,13,46.2,77.0,24.0,3,5,60.0,2,5,40.0,0,1,0.0,0,0.1,0.0,0.0,0,1,1,0
,,1.7,130,141,92.2,2070.0,518.0,71,76,93.4,46,46,100.0,9,13,69.2,0,0.1,0.2,-0.2,2,14,0,15
,,1.9,86,99,86.9,1265.0,446.0,55,60,91.7,28,31,90.3,2,5,40.0,0,0.1,0.1,-0.1,1,10,0,6
,,1.0,43,54,79.6,833.0,371.0,13,14,92.9,25,27,92.6,4,12,33.3,0,0.0,0.0,0.0,0,2,0,2
,,3.7,48,74,64.9,877.0,277.0,24,30,80.0,14,22,63.6,9,14,64.3,1,0.6,1.0,0.0,10,5,0,9
,,0.9,73,85,85.9,1064.0,311.0,42,44,95.5,29,33,87.9,0,5,0.0,0,0.1,0.0,0.0,0,4,0,5
,,3.5,94,115,81.7,1377.0,298.0,59,63,93.7,26,36,72.2,7,11,63.6,0,0.1,0.1,-0.1,3,8,1,6
,,0.1,4,4,100.0,42.0,23.0,4,4,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,1
,,1.9,49,62,79.0,698.0,209.0,30,37,81.1,14,15,93.3,3,7,42.9,1,0.4,0.6,0.4,4,6,1,6
,,4.0,155,174,89.1,2667.0,1241.0,64,71,90.1,79,83,95.2,9,14,64.3,0,0.1,0.0,0.0,0,1,0,4
,,1.3,14,24,58.3,229.0,57.0,5,8,62.5,3,6,50.0,3,5,60.0,0,0.0,0.0,0.0,0,0,1,0
,,3.8,207,231,89.6,3545.0,921.0,90,98,91.8,99,108,91.7,16,20,80.0,0,0.2,0.0,0.0,1,18,1,14
,,0.8,41,45,91.1,603.0,168.0,20,21,95.2,20,20,100.0,0,0,0.0,0,0.2,0.3,-0.3,2,2,1,7
,,0.2,8,9,88.9,123.0,13.0,3,4,75.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0.0,1,1,0,1
,,0.5,8,10,80.0,137.0,44.0,3,4,75.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0
,,3.6,38,56,67.9,432.0,83.0,29,41,70.7,4,8,50.0,2,3,66.7,1,0.4,0.2,0.8,1,2,0,4
,,0.7,16,24,66.7,181.0,38.0,10,14,71.4,5,6,83.3,0,0,0.0,0,0.0,0.0,0.0,0,2,0,1
,,2.5,136,172,79.1,2340.0,726.0,56,69,81.2,64,73,87.7,10,15,66.7,0,0.6,1.0,-1.0,3,11,1,14
,,1.1,38,49,77.6,621.0,258.0,18,20,90.0,18,22,81.8,1,4,25.0,0,0.0,0.1,-0.1,1,7,0,4
,,0.8,21,30,70.0,347.0,140.0,10,12,83.3,6,7,85.7,3,4,75.0,0,0.0,0.0,0.0,0,2,0,3
,,0.1,3,3,100.0,71.0,22.0,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,0
,,0.2,0,3,0.0,0.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.5,81,104,77.9,1455.0,476.0,31,37,83.8,42,49,85.7,7,13,53.8,0,0.1,0.2,-0.2,6,10,0,18
,,0.5,9,14,64.3,151.0,51.0,6,6,100.0,2,2,100.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,1
,,1.7,57,74,77.0,1169.0,477.0,22,27,81.5,28,31,90.3,7,12,58.3,0,0.0,0.0,0.0,0,4,0,4
,,0.1,1,2,50.0,24.0,0.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.0,32,43,74.4,535.0,247.0,17,19,89.5,13,18,72.2,2,6,33.3,0,0.0,0.0,0.0,0,3,0,6
,,4.0,175,196,89.3,3365.0,1164.0,55,62,88.7,108,113,95.6,11,17,64.7,0,0.0,0.0,0.0,0,8,0,7
,,0.5,15,19,78.9,235.0,37.0,8,8,100.0,4,5,80.0,2,3,66.7,0,0.0,0.1,-0.1,1,1,0,2
,,4.0,277,299,92.6,5350.0,2092.0,83,88,94.3,170,174,97.7,21,29,72.4,0,0.2,0.0,0.0,1,21,0,20
