stat_id,team_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,4.0,1,0,0,0,0,2.1,0.14,1.1,0.28,25,69,36.2,115,18,40.0,33.5,60,8,13.3,3,0.75,9.5
,,4.0,6,1,0,0,0,3.8,0.26,-2.2,-0.56,26,49,53.1,110,15,34.5,32.8,50,6,12.0,5,1.25,13.7
,,4.0,5,0,0,0,0,7.0,0.3,2.0,0.51,17,45,37.8,80,14,40.0,36.8,54,2,3.7,5,1.25,12.6
,,4.0,6,0,0,0,1,6.5,0.24,1.5,0.37,35,66,53.0,191,14,29.8,32.8,48,3,6.3,8,2.0,17.1
,,4.0,2,0,0,0,0,2.9,0.24,0.9,0.23,14,29,48.3,157,16,17.2,25.1,31,3,9.7,5,1.25,15.4
,,4.0,5,0,0,0,0,5.2,0.22,0.2,0.04,10,35,28.6,137,20,21.9,27.0,34,6,17.6,11,2.75,16.3
,,4.0,7,0,0,0,0,8.2,0.47,1.2,0.3,10,44,22.7,84,22,41.7,34.8,44,2,4.5,4,1.0,13.9
,,4.0,13,0,0,1,0,9.8,0.38,-3.2,-0.81,49,101,48.5,124,11,71.0,48.4,57,1,1.8,13,3.25,21.3
,,4.0,4,0,0,1,0,5.1,0.32,1.1,0.27,12,42,28.6,132,10,24.2,28.5,52,3,5.8,5,1.25,13.8
,,4.0,7,1,0,0,0,9.0,0.43,2.0,0.51,17,55,30.9,140,25,29.3,30.4,73,6,8.2,5,1.25,13.8
,,4.0,7,1,0,0,0,7.9,0.34,0.9,0.24,13,51,25.5,110,26,35.5,35.1,72,3,4.2,5,1.25,14.6
,,4.0,1,0,0,0,0,2.4,0.24,1.4,0.35,9,27,33.3,126,9,19.8,24.6,29,1,3.4,7,1.75,17.5
,,4.0,3,0,0,0,1,3.3,0.31,1.3,0.31,14,32,43.8,130,10,20.8,28.7,36,1,2.8,9,2.25,17.9
,,4.0,5,0,0,1,0,6.8,0.51,1.8,0.46,17,41,41.5,156,22,25.0,26.5,37,2,5.4,8,2.0,17.3
,,4.0,3,0,0,0,1,4.3,0.24,2.3,0.56,17,64,26.6,93,16,45.2,39.3,73,4,5.5,11,2.75,18.4
,,4.0,2,0,0,0,0,2.4,0.2,0.4,0.09,32,84,38.1,80,4,87.5,45.9,50,3,6.0,1,0.25,8.3
,,4.0,8,0,0,3,0,9.0,0.36,1.0,0.25,9,29,31.0,105,26,27.6,22.2,41,6,14.6,2,0.5,6.9
,,4.0,4,0,0,1,0,5.0,0.45,1.0,0.24,1,9,11.1,125,26,7.2,20.4,40,3,7.5,9,2.25,18.8
,,4.0,6,0,0,1,0,5.3,0.29,-0.7,-0.19,22,57,38.6,97,18,37.1,37.5,57,3,5.3,4,1.0,6.0
,,4.0,11,0,0,2,0,8.2,0.34,-2.8,-0.71,33,79,41.8,122,8,58.2,38.2,46,3,6.5,7,1.75,10.5
