stat_id,team_id,ninety_s,tkl_tackles,tklw_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_challenges,att_challenges,tkl_percent_challenges,lost_challenges,blocks_blocks,sh_blocks,pass_blocks,interceptions,tkl_plus_int,clr,err
,,4.0,73,45,36,24,13,40,76,52.6,36,48,18,30,37,110,84,5
,,4.0,83,50,29,41,13,34,57,59.6,23,33,7,26,22,105,74,4
,,4.0,79,41,38,27,14,32,69,46.4,37,57,14,43,37,116,105,2
,,4.0,66,44,35,19,12,32,53,60.4,21,53,20,33,36,102,83,1
,,4.0,75,43,26,37,12,38,69,55.1,31,35,9,26,29,104,49,1
,,4.0,59,39,21,29,9,29,67,43.3,38,42,14,28,33,92,68,3
,,4.0,88,50,34,38,16,36,77,46.8,41,36,8,28,28,116,84,3
,,4.0,93,57,45,32,16,44,68,64.7,24,39,12,27,46,139,80,3
,,4.0,79,53,35,30,14,26,60,43.3,34,39,10,29,36,115,62,2
,,4.0,75,41,50,16,9,39,85,45.9,46,60,22,38,34,109,133,3
,,4.0,84,48,41,31,12,32,66,48.5,34,76,23,53,36,120,112,1
,,4.0,62,39,28,21,13,36,59,61.0,23,46,5,41,33,95,73,1
,,4.0,57,32,28,15,14,24,43,55.8,19,36,8,28,28,85,59,4
,,4.0,94,58,45,36,13,53,80,66.3,27,37,10,27,50,144,53,4
,,4.0,68,43,30,28,10,40,73,54.8,33,66,23,43,27,95,112,3
,,4.0,87,54,43,38,6,41,67,61.2,26,40,12,28,39,126,94,2
,,4.0,67,42,25,26,16,28,56,50.0,28,46,20,26,25,92,65,6
,,4.0,87,58,32,37,18,43,75,57.3,32,47,12,35,26,113,65,1
,,4.0,63,38,32,25,6,30,65,46.2,35,53,21,32,37,100,93,1
,,4.0,84,50,49,26,9,35,73,47.9,38,52,19,33,36,120,80,0
