stat_id,team_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,4.0,85,21.25,70,4,6,5,0,0,12,3.0,9,2,0,1,0,0
,,4.0,92,23.0,66,8,5,9,1,3,12,3.0,10,1,0,1,0,0
,,4.0,118,29.5,90,8,4,6,6,4,9,2.25,9,0,0,0,0,0
,,4.0,82,20.5,59,9,5,4,4,1,10,2.5,7,1,0,2,0,0
,,4.0,118,29.5,77,8,11,12,9,1,10,2.5,8,0,1,1,0,0
,,4.0,90,22.5,73,3,7,4,3,0,15,3.75,11,1,2,1,0,0
,,4.0,103,25.75,84,7,2,6,4,0,4,1.0,2,0,0,1,1,0
,,4.0,76,19.0,50,10,4,5,4,3,7,1.75,4,1,0,0,1,1
,,4.0,105,26.25,70,14,5,8,5,3,8,2.0,8,0,0,0,0,0
,,4.0,41,10.25,23,8,5,2,2,1,4,1.0,3,0,1,0,0,0
,,4.0,60,15.0,36,9,6,3,6,0,9,2.25,6,1,2,0,0,0
,,4.0,112,28.0,85,6,7,10,1,3,13,3.25,13,0,0,0,0,0
,,4.0,121,30.25,98,9,6,4,3,1,18,4.5,12,0,4,0,1,1
,,4.0,100,25.0,93,5,0,1,0,1,10,2.5,8,2,0,0,0,0
,,4.0,74,18.5,53,7,6,3,3,2,12,3.0,9,1,1,0,0,1
,,4.0,103,25.75,79,7,4,10,2,1,6,1.5,2,1,0,2,1,0
,,4.0,87,21.75,64,5,4,7,6,1,2,0.5,2,0,0,0,0,0
,,4.0,115,28.75,81,12,6,7,7,2,6,1.5,4,1,1,0,0,0
,,4.0,90,22.5,59,11,6,9,3,2,7,1.75,3,1,1,1,1,0
,,4.0,74,18.5,54,4,6,3,3,4,7,1.75,5,1,0,0,0,1
