stat_id,team_id,mp,starts,min,ninety_s,ga,ga_per_90,sota,saves,save_percent,w,d,l,cs,cs_percent
,,4,4,360,4.0,1,0.25,15,14,93.3,3,1,0,3,75.0
,,4,4,360,4.0,6,1.5,12,6,58.3,3,0,1,0,0.0
,,4,4,360,4.0,5,1.25,24,19,79.2,1,2,1,0,0.0
,,4,4,360,4.0,6,1.5,27,22,77.8,2,0,2,0,0.0
,,4,4,360,4.0,2,0.5,12,10,83.3,2,2,0,2,50.0
,,4,4,360,4.0,5,1.25,19,13,73.7,2,1,1,1,25.0
,,4,4,360,4.0,7,1.75,19,12,63.2,0,2,2,0,0.0
,,4,4,360,4.0,13,3.25,26,13,50.0,0,0,4,0,0.0
,,4,4,360,4.0,4,1.0,16,12,75.0,1,2,1,0,0.0
,,4,4,360,4.0,7,1.75,20,13,70.0,0,2,2,1,25.0
,,4,4,360,4.0,7,1.75,21,14,71.4,0,2,2,0,0.0
,,4,4,360,4.0,1,0.25,10,9,90.0,3,0,1,3,75.0
,,4,4,360,4.0,3,0.75,11,9,72.7,4,0,0,1,25.0
,,4,4,360,4.0,5,1.25,12,6,58.3,2,0,2,2,50.0
,,4,4,360,4.0,3,0.75,18,16,83.3,3,1,0,1,25.0
,,4,4,360,4.0,2,0.5,12,10,83.3,2,2,0,2,50.0
,,4,4,360,4.0,8,2.0,26,18,69.2,0,0,4,0,0.0
,,4,4,360,4.0,4,1.0,11,7,63.6,1,1,2,1,25.0
,,4,4,360,4.0,6,1.5,18,12,66.7,1,1,2,1,25.0
,,4,4,360,4.0,11,2.75,25,14,56.0,0,1,3,0,0.0
