stat_id,team_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,4.0,13,1,1,55,41,7,48,37,45,0,0,0,132,52,54,49.1
,,4.0,9,0,0,50,59,6,56,22,50,0,1,0,146,39,41,48.8
,,4.0,12,0,0,55,40,10,85,37,41,1,0,0,227,60,68,46.9
,,4.0,7,0,0,26,40,5,52,36,44,0,0,1,161,47,29,61.8
,,4.0,8,0,0,38,49,3,81,29,43,0,0,0,173,56,56,50.0
,,4.0,16,0,0,43,51,6,56,33,39,0,1,0,174,29,35,45.3
,,4.0,8,0,0,48,45,10,70,28,50,1,0,0,171,55,64,46.2
,,4.0,7,1,0,41,39,16,65,46,57,0,0,0,180,65,49,57.0
,,4.0,10,0,0,54,56,4,90,36,53,0,0,0,171,64,53,54.7
,,4.0,11,0,0,55,49,13,36,34,41,0,1,0,139,47,52,47.5
,,4.0,10,0,0,52,57,10,53,36,48,0,1,0,157,42,56,42.9
,,4.0,8,0,0,50,28,3,63,33,39,0,0,0,187,58,36,61.7
,,4.0,8,0,0,25,40,6,65,28,32,1,0,1,154,23,30,43.4
,,4.0,12,0,0,46,36,9,58,50,58,0,1,0,204,37,41,47.4
,,4.0,11,1,0,45,64,5,63,27,43,0,0,1,163,39,43,47.6
,,4.0,11,0,0,52,54,11,61,39,54,0,0,0,187,62,56,52.5
,,4.0,9,1,0,48,50,4,71,25,42,1,0,0,142,20,34,37.0
,,4.0,10,0,0,49,52,7,106,26,58,0,0,0,172,47,45,51.1
,,4.0,8,0,0,63,37,5,69,37,38,1,0,0,160,56,52,51.9
,,4.0,11,0,0,62,49,7,55,36,50,0,0,0,159,45,49,47.9
