stat_id,team_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,4.0,1618,1451,160,49,11,11,48,59,18,14,0,2,1315,7,27
,,4.0,1911,1723,182,66,15,8,56,63,17,14,2,1,1596,6,34
,,4.0,1602,1414,178,42,1,5,85,72,24,19,2,0,1167,10,32
,,4.0,1729,1567,157,47,8,14,52,65,13,9,0,0,1398,5,34
,,4.0,2254,2067,184,65,9,11,81,61,25,11,8,1,1886,3,38
,,4.0,2303,2118,179,58,8,8,56,67,16,11,1,0,1981,6,26
,,4.0,2149,1958,181,46,7,10,70,69,19,11,0,0,1721,10,41
,,4.0,1351,1156,179,43,5,11,65,75,16,8,3,4,992,16,32
,,4.0,1926,1705,217,70,3,13,90,87,24,11,11,0,1552,4,43
,,4.0,1374,1214,147,53,8,7,36,46,13,10,1,0,1066,13,33
,,4.0,1680,1503,167,62,7,6,53,56,10,7,3,0,1339,10,29
,,4.0,2410,2221,186,40,10,16,63,95,28,19,5,0,2048,3,29
,,4.0,2709,2537,166,40,9,7,65,68,36,11,4,1,2425,6,41
,,4.0,2272,2100,163,38,11,7,58,72,23,10,2,5,1929,9,40
,,4.0,1560,1345,210,75,3,9,63,68,26,15,5,0,1197,5,47
,,4.0,1642,1440,191,57,4,5,61,71,21,11,10,0,1235,11,37
,,4.0,2562,2388,170,53,6,6,71,55,24,10,5,0,2234,4,43
,,4.0,2492,2279,206,61,8,10,106,79,44,18,7,0,2125,7,54
,,4.0,1647,1463,179,43,2,21,69,72,13,6,6,0,1290,5,45
,,4.0,1629,1439,183,55,10,13,55,72,14,6,7,0,1277,7,36
