stat_id,team_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,kp,one_third,crspa,prgp
,,4.0,1315,1618,81.3,23191.0,7956.0,603,678,88.9,587,666,88.1,105,204,51.5,5,38,87,6,138
,,4.0,1596,1911,83.5,26835.0,9116.0,769,836,92.0,670,750,89.3,116,221,52.5,6,40,138,6,113
,,4.0,1167,1602,72.8,21807.0,9022.0,496,589,84.2,523,630,83.0,132,298,44.3,4,48,110,12,152
,,4.0,1398,1729,80.9,26256.0,9916.0,568,656,86.6,640,726,88.2,165,266,62.0,2,34,86,9,117
,,4.0,1886,2254,83.7,32092.0,11277.0,906,1002,90.4,773,888,87.0,165,259,63.7,5,45,136,9,192
,,4.0,1981,2303,86.0,34273.0,11081.0,858,949,90.4,937,1022,91.7,145,241,60.2,7,39,150,6,148
,,4.0,1721,2149,80.1,30289.0,10493.0,774,876,88.4,759,882,86.1,155,288,53.8,1,43,143,6,178
,,4.0,992,1351,73.4,20576.0,9142.0,421,503,83.7,369,445,82.9,186,325,57.2,3,32,86,7,102
,,4.0,1552,1926,80.6,27860.0,9439.0,642,715,89.8,715,829,86.2,153,275,55.6,4,50,109,9,152
,,4.0,1066,1374,77.6,18411.0,7019.0,519,569,91.2,428,508,84.3,92,206,44.7,2,18,68,3,71
,,4.0,1339,1680,79.7,22286.0,8382.0,662,751,88.1,526,600,87.7,111,235,47.2,5,25,92,6,92
,,4.0,2048,2410,85.0,34051.0,11797.0,1022,1114,91.7,838,939,89.2,146,267,54.7,6,51,156,9,191
,,4.0,2425,2709,89.5,39591.0,10818.0,1277,1381,92.5,954,1026,93.0,165,218,75.7,7,55,192,5,224
,,4.0,1929,2272,84.9,31309.0,10732.0,919,1020,90.1,821,910,90.2,121,206,58.7,5,45,131,8,164
,,4.0,1197,1560,76.7,20469.0,8428.0,594,682,87.1,484,565,85.7,98,226,43.4,6,36,97,7,120
,,4.0,1235,1642,75.2,21141.0,8722.0,632,727,86.9,451,568,79.4,117,253,46.2,2,48,102,5,125
,,4.0,2234,2562,87.2,34852.0,10129.0,1149,1241,92.6,925,1027,90.1,104,188,55.3,1,37,161,6,176
,,4.0,2125,2492,85.3,33543.0,10114.0,1096,1195,91.7,849,945,89.8,115,210,54.8,4,48,183,13,225
,,4.0,1290,1647,78.3,22825.0,8290.0,590,675,87.4,513,606,84.7,145,261,55.6,2,33,95,8,112
,,4.0,1277,1629,78.4,23031.0,8187.0,575,660,87.1,560,649,86.3,122,237,51.5,4,28,111,7,103
