stat_id,team_id,age,mp,min,mn_per_mp,min_percent,ninety_s,starts,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,26.3,4,360,90.0,100.0,4.0,44,85.0,31,12,14.0,24,2.5,6,1,5,1.25,5.0,4.2,0.8,0.2
,,26.7,4,360,90.0,100.0,4.0,44,79.0,25,20,25.0,16,2.25,7,6,1,0.25,6.7,4.5,2.2,0.55
,,25.5,4,360,90.0,100.0,4.0,44,81.0,24,20,19.0,16,1.25,5,5,0,0.0,7.6,5.5,2.0,0.51
,,26.8,4,360,90.0,100.0,4.0,44,83.0,27,17,19.0,19,1.5,6,6,0,0.0,5.9,7.3,-1.4,-0.36
,,26.6,4,360,90.0,100.0,4.0,44,83.0,25,19,17.0,17,2.0,6,2,4,1.0,6.9,4.4,2.5,0.62
,,23.6,4,360,90.0,100.0,4.0,44,82.0,28,16,23.0,20,1.75,8,5,3,0.75,5.7,5.0,0.7,0.18
,,26.2,4,360,90.0,100.0,4.0,44,83.0,29,15,20.0,21,0.5,4,7,-3,-0.75,5.6,6.5,-1.0,-0.24
,,28.5,4,360,90.0,100.0,4.0,44,83.0,29,14,21.0,22,0.0,4,13,-9,-2.25,4.1,8.3,-4.2,-1.05
,,27.9,4,360,90.0,100.0,4.0,44,84.0,25,19,13.0,17,1.25,4,4,0,0.0,4.6,4.2,0.4,0.1
,,26.3,4,360,90.0,100.0,4.0,44,83.0,25,19,17.0,17,0.5,2,7,-5,-1.25,1.5,8.5,-6.9,-1.73
,,26.8,4,360,90.0,100.0,4.0,44,85.0,29,15,14.0,21,0.5,5,7,-2,-0.5,3.3,6.8,-3.5,-0.88
,,27.6,4,360,90.0,100.0,4.0,44,82.0,26,18,19.0,18,2.25,7,1,6,1.5,7.8,2.8,5.0,1.26
,,27.4,4,360,90.0,100.0,4.0,44,84.0,29,15,19.0,21,3.0,11,3,8,2.0,9.2,2.9,6.3,1.57
,,26.3,4,360,90.0,100.0,4.0,44,82.0,25,19,18.0,17,1.5,5,5,0,0.0,7.9,5.4,2.4,0.61
,,27.3,4,360,90.0,100.0,4.0,44,78.0,26,17,27.0,19,2.5,6,3,3,0.75,5.2,6.5,-1.3,-0.32
,,26.6,4,360,90.0,100.0,4.0,44,81.0,25,19,21.0,17,2.0,4,2,2,0.5,5.0,3.0,2.0,0.5
,,26.3,4,360,90.0,100.0,4.0,44,80.0,24,19,23.0,17,0.0,1,8,-7,-1.75,4.5,7.9,-3.4,-0.85
,,25.6,4,360,90.0,100.0,4.0,44,84.0,26,18,16.0,18,1.0,6,4,2,0.5,5.5,4.5,1.0,0.26
,,28.7,4,360,90.0,100.0,4.0,44,81.0,24,20,20.0,16,1.0,5,6,-1,-0.25,5.1,7.8,-2.7,-0.67
,,27.1,4,360,90.0,100.0,4.0,44,82.0,24,20,17.0,16,0.25,4,11,-7,-1.75,4.4,5.4,-1.0,-0.25
