stat_id,team_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,4.0,2051,239,703,851,516,122,2051,77,35,45.5,34,44.2,1134,5937.0,2985.0,63,31,31,36,45,1294,134
,,4.0,2342,247,722,1059,590,86,2342,76,38,50.0,29,38.2,1333,7224.0,3938.0,71,49,15,57,48,1571,113
,,4.0,2138,244,691,876,600,102,2137,70,21,30.0,39,55.7,1069,6397.0,3372.0,68,41,24,52,35,1154,151
,,4.0,2161,385,965,740,478,80,2161,60,20,33.3,32,53.3,1228,6242.0,3073.0,59,34,16,51,34,1380,117
,,4.0,2676,289,902,1115,687,125,2676,96,36,37.5,53,55.2,1565,8866.0,5028.0,98,62,41,52,31,1871,192
,,4.0,2726,257,860,1255,630,80,2726,79,36,45.6,35,44.3,1555,8536.0,4362.0,82,44,14,64,33,1963,147
,,4.0,2600,245,783,1228,608,101,2599,55,16,29.1,37,67.3,1435,6803.0,3558.0,64,53,23,48,34,1712,175
,,4.0,1798,236,633,775,416,90,1798,81,27,33.3,48,59.3,882,4817.0,2090.0,47,28,19,51,41,979,100
,,4.0,2366,263,771,1003,620,99,2366,90,38,42.2,36,40.0,1395,6893.0,3513.0,69,53,23,60,37,1534,150
,,4.0,1850,384,898,656,317,42,1850,53,23,43.4,24,45.3,934,4925.0,2213.0,43,26,10,57,29,1056,71
,,4.0,2173,311,881,983,340,48,2173,73,31,42.5,29,39.7,1169,5893.0,2694.0,42,27,8,57,49,1328,91
,,4.0,2836,256,827,1275,760,143,2836,79,30,38.0,43,54.4,1668,8395.0,4402.0,97,63,46,53,41,2027,187
,,4.0,3076,230,710,1181,1211,179,3075,83,41,49.4,26,31.3,1688,10348.0,5936.0,132,100,54,47,42,2390,223
,,4.0,2688,283,911,1200,600,108,2688,90,40,44.4,40,44.4,1726,8759.0,4292.0,69,50,27,46,46,1909,161
,,4.0,2027,308,780,788,479,76,2027,64,27,42.2,30,46.9,1111,5847.0,2712.0,62,35,19,44,49,1184,120
,,4.0,2126,245,652,906,600,102,2126,78,30,38.5,34,43.6,1050,5871.0,3042.0,76,47,28,58,37,1220,123
,,4.0,2956,284,884,1313,771,110,2955,69,24,34.8,37,53.6,1720,9325.0,5310.0,107,68,30,42,42,2214,175
,,4.0,2949,200,704,1253,1020,160,2949,100,37,37.0,50,50.0,1819,9827.0,5259.0,107,83,37,52,39,2104,223
,,4.0,2100,288,765,936,426,78,2099,78,37,47.4,26,33.3,1069,6039.0,3051.0,68,43,16,51,66,1274,112
,,4.0,2058,277,767,879,447,77,2058,78,39,50.0,30,38.5,1152,6637.0,3424.0,53,48,19,58,33,1263,103
