stat_id,team_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,4.0,6,45,21,46.7,11.25,5.25,0.13,0.29,15.7,0,0,0,5.0,5.0,0.11,1.0,1.0
,,4.0,7,53,18,34.0,13.25,4.5,0.13,0.39,15.5,0,0,0,6.7,6.7,0.13,0.3,0.3
,,4.0,5,64,21,32.8,16.0,5.25,0.08,0.24,18.4,2,0,1,7.6,6.8,0.11,-2.6,-1.8
,,4.0,6,45,19,42.2,11.25,4.75,0.13,0.32,14.5,0,0,0,5.9,5.9,0.14,0.1,0.1
,,4.0,6,67,19,28.4,16.75,4.75,0.09,0.32,17.2,3,0,0,6.9,6.9,0.11,-0.9,-0.9
,,4.0,8,47,21,44.7,11.75,5.25,0.17,0.38,16.5,2,0,0,5.7,5.7,0.12,2.3,2.3
,,4.0,3,56,14,25.0,14.0,3.5,0.04,0.14,18.2,3,1,1,5.6,4.8,0.09,-2.6,-2.8
,,4.0,4,43,12,27.9,10.75,3.0,0.09,0.33,14.5,0,0,0,4.1,4.1,0.1,-0.1,-0.1
,,4.0,4,58,17,29.3,14.5,4.25,0.07,0.24,15.8,3,0,0,4.6,4.6,0.08,-0.6,-0.6
,,4.0,2,25,8,32.0,6.25,2.0,0.08,0.25,17.2,1,0,0,1.5,1.5,0.06,0.5,0.5
,,4.0,5,35,14,40.0,8.75,3.5,0.14,0.36,19.9,1,0,0,3.3,3.3,0.1,1.7,1.7
,,4.0,7,62,21,33.9,15.5,5.25,0.11,0.33,14.2,1,0,0,7.8,7.8,0.13,-0.8,-0.8
,,4.0,11,65,24,36.9,16.25,6.0,0.15,0.42,16.9,2,1,1,9.2,8.4,0.13,1.8,1.6
,,4.0,5,53,21,39.6,13.25,5.25,0.09,0.24,17.0,0,0,0,7.9,7.9,0.15,-2.9,-2.9
,,4.0,6,40,15,37.5,10.0,3.75,0.15,0.4,14.8,0,0,0,5.2,5.2,0.13,0.8,0.8
,,4.0,4,58,24,41.4,14.5,6.0,0.07,0.17,17.1,1,0,0,5.0,5.0,0.09,-1.0,-1.0
,,4.0,1,47,12,25.5,11.75,3.0,0.02,0.08,17.8,2,0,1,4.5,3.7,0.08,-3.5,-2.7
,,4.0,5,63,24,38.1,15.75,6.0,0.08,0.21,16.8,2,0,0,5.5,5.5,0.09,-0.5,-0.5
,,4.0,4,52,10,19.2,13.0,2.5,0.06,0.3,16.4,0,1,1,5.1,4.4,0.09,-1.1,-1.4
,,4.0,4,44,14,31.8,11.0,3.5,0.09,0.29,18.5,2,0,0,4.4,4.4,0.1,-0.4,-0.4
