stat_id,team_id,age,poss,mp,starts,min,ninety_s,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,26.3,46.5,4,44,360,4.0,6,1.5,5,1.25,11,2.75,6,1.5,0,0,13,1,5.0,1.24,5.0,1.24,4.3,1.08,9.3,2.32
,,26.7,50.8,4,44,360,4.0,7,1.75,6,1.5,13,3.25,7,1.75,0,0,9,0,6.7,1.68,6.7,1.68,5.4,1.34,12.1,3.02
,,25.5,43.3,4,44,360,4.0,5,1.25,4,1.0,9,2.25,5,1.25,0,1,12,0,7.6,1.89,6.8,1.69,5.7,1.42,12.4,3.11
,,26.8,41.8,4,44,360,4.0,6,1.5,2,0.5,8,2.0,6,1.5,0,0,7,0,5.9,1.46,5.9,1.46,3.3,0.82,9.1,2.28
,,26.6,60.0,4,44,360,4.0,6,1.5,5,1.25,11,2.75,6,1.5,0,0,8,0,6.9,1.72,6.9,1.72,5.0,1.24,11.8,2.96
,,23.6,59.0,4,44,360,4.0,8,2.0,7,1.75,15,3.75,8,2.0,0,0,16,0,5.7,1.43,5.7,1.43,4.9,1.23,10.7,2.66
,,26.2,54.0,4,44,360,4.0,3,0.75,1,0.25,4,1.0,2,0.5,1,1,8,0,5.6,1.4,4.8,1.2,4.0,1.01,8.8,2.21
,,28.5,36.3,4,44,360,4.0,4,1.0,3,0.75,7,1.75,4,1.0,0,0,7,1,4.1,1.03,4.1,1.03,3.6,0.91,7.7,1.94
,,27.9,51.3,4,44,360,4.0,4,1.0,4,1.0,8,2.0,4,1.0,0,0,10,0,4.6,1.16,4.6,1.16,4.2,1.06,8.9,2.22
,,26.3,35.8,4,44,360,4.0,2,0.5,2,0.5,4,1.0,2,0.5,0,0,11,0,1.5,0.38,1.5,0.38,1.3,0.32,2.8,0.71
,,26.8,41.8,4,44,360,4.0,5,1.25,5,1.25,10,2.5,5,1.25,0,0,10,0,3.3,0.83,3.3,0.83,2.8,0.71,6.2,1.54
,,27.6,59.8,4,44,360,4.0,7,1.75,6,1.5,13,3.25,7,1.75,0,0,8,0,7.8,1.96,7.8,1.96,6.7,1.67,14.5,3.63
,,27.4,62.0,4,44,360,4.0,11,2.75,7,1.75,18,4.5,10,2.5,1,1,8,0,9.2,2.3,8.4,2.1,7.5,1.89,16.0,3.99
,,26.3,54.0,4,44,360,4.0,5,1.25,5,1.25,10,2.5,5,1.25,0,0,12,0,7.9,1.96,7.9,1.96,7.3,1.84,15.2,3.8
,,27.3,42.5,4,44,360,4.0,6,1.5,6,1.5,12,3.0,6,1.5,0,0,11,1,5.2,1.3,5.2,1.3,5.1,1.29,10.4,2.59
,,26.6,43.3,4,44,360,4.0,4,1.0,2,0.5,6,1.5,4,1.0,0,0,11,0,5.0,1.26,5.0,1.26,3.8,0.95,8.8,2.21
,,26.3,62.0,4,44,360,4.0,1,0.25,1,0.25,2,0.5,1,0.25,0,1,9,1,4.5,1.12,3.7,0.92,3.2,0.8,6.9,1.71
,,25.6,67.0,4,44,360,4.0,5,1.25,4,1.0,9,2.25,5,1.25,0,0,10,0,5.5,1.39,5.5,1.39,3.7,0.91,9.2,2.3
,,28.7,43.3,4,44,360,4.0,4,1.0,2,0.5,6,1.5,3,0.75,1,1,8,0,5.1,1.28,4.4,1.09,2.8,0.7,7.1,1.78
,,27.1,46.0,4,44,360,4.0,4,1.0,4,1.0,8,2.0,4,1.0,0,0,11,0,4.4,1.1,4.4,1.1,3.4,0.84,7.7,1.94
