stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.8,1,4,1,25.0,4.74,1.18,0.25,1.0,14.8,0,0,0,0.3,0.3,0.07,0.7,0.7
,,3.6,0,2,0,0.0,0.56,0.0,0.0,0.0,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0
,,3.3,0,4,1,25.0,1.23,0.31,0.0,0.0,16.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4
,,3.2,0,1,1,100.0,0.31,0.31,0.0,0.0,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
,,3.5,0,4,0,0.0,1.15,0.0,0.0,0.0,22.5,1,0,0,0.2,0.2,0.05,-0.2,-0.2
,,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.9,0,1,0,0.0,0.53,0.0,0.0,0.0,29.1,0,0,0,0.0,0.0,0.01,0.0,0.0
,,0.1,0,1,0,0.0,9.0,0.0,0.0,0.0,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
,,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
,,1.0,0,1,0,0.0,1.0,0.0,0.0,0.0,16.4,0,0,0,0.0,0.0,0.01,0.0,0.0
,,2.7,0,3,0,0.0,1.12,0.0,0.0,0.0,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.8,0,6,0,0.0,2.18,0.0,0.0,0.0,11.5,0,0,0,0.8,0.8,0.14,-0.8,-0.8
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.6,0,4,2,50.0,2.45,1.22,0.0,0.0,19.1,0,0,1,1.0,0.2,0.06,-1.0,-0.2
,,3.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.5,0,2,0,0.0,0.8,0.0,0.0,0.0,10.5,0,0,0,0.5,0.5,0.27,-0.5,-0.5
,,2.3,0,7,1,14.3,3.07,0.44,0.0,0.0,19.6,0,0,0,0.8,0.8,0.11,-0.8,-0.8
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.4,0,1,1,100.0,2.57,2.57,0.0,0.0,10.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
,,1.9,0,5,1,20.0,2.69,0.54,0.0,0.0,17.1,0,0,0,0.5,0.5,0.1,-0.5,-0.5
,,0.2,0,1,0,0.0,4.29,0.0,0.0,0.0,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5
,,2.0,0,4,1,25.0,2.03,0.51,0.0,0.0,21.6,1,0,0,0.2,0.2,0.06,-0.2,-0.2
,,2.0,0,4,1,25.0,2.02,0.51,0.0,0.0,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,2.2,0,8,1,12.5,3.64,0.45,0.0,0.0,22.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
,,1.0,0,2,0,0.0,2.0,0.0,0.0,0.0,16.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,1.8,2,6,2,33.3,3.4,1.13,0.33,1.0,14.6,0,0,0,1.2,1.2,0.19,0.8,0.8
,,4.0,0,3,0,0.0,0.75,0.0,0.0,0.0,14.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,3.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,1,4,1,25.0,1.35,0.34,0.25,1.0,22.4,1,0,0,0.3,0.3,0.06,0.7,0.7
,,1.7,0,3,1,33.3,1.76,0.59,0.0,0.0,15.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
,,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.4,0,1,0,0.0,2.65,0.0,0.0,0.0,17.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
,,3.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.7,1,1,1,100.0,0.59,0.59,1.0,1.0,20.9,0,0,0,0.1,0.1,0.1,0.9,0.9
,,1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,1,1,100.0,0.99,0.99,0.0,0.0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
,,3.7,1,5,3,60.0,1.34,0.8,0.2,0.33,19.7,0,0,0,0.5,0.5,0.09,0.5,0.5
,,0.9,0,2,1,50.0,2.28,1.14,0.0,0.0,8.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2
,,3.5,0,7,1,14.3,2.02,0.29,0.0,0.0,17.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.9,1,2,1,50.0,1.05,0.53,0.5,1.0,18.4,0,0,0,0.2,0.2,0.09,0.8,0.8
,,4.0,0,3,1,33.3,0.75,0.25,0.0,0.0,9.0,0,0,0,0.3,0.3,0.1,-0.3,-0.3
,,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.8,0,2,0,0.0,0.52,0.0,0.0,0.0,28.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.6,2,6,2,33.3,1.67,0.56,0.33,1.0,8.5,0,0,0,1.2,1.2,0.2,0.8,0.8
,,0.7,0,1,0,0.0,1.5,0.0,0.0,0.0,13.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
,,2.5,0,6,1,16.7,2.36,0.39,0.0,0.0,20.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
,,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.5,0,1,0,0.0,0.4,0.0,0.0,0.0,17.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
,,0.5,0,3,0,0.0,6.43,0.0,0.0,0.0,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6
,,4.0,0,5,3,60.0,1.25,0.75,0.0,0.0,10.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6
,,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,2,1,50.0,0.5,0.25,0.0,0.0,7.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
,,3.9,1,4,2,50.0,1.02,0.51,0.25,0.5,25.5,0,0,0,0.2,0.2,0.06,0.8,0.8
,,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.2,0,1,0,0.0,0.45,0.0,0.0,0.0,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.1,1,13,5,38.5,4.16,1.6,0.08,0.2,17.7,1,0,0,1.4,1.4,0.11,-0.4,-0.4
,,4.0,0,1,0,0.0,0.25,0.0,0.0,0.0,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0
,,2.3,0,2,1,50.0,0.87,0.44,0.0,0.0,10.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,25.3,1,0,0,0.1,0.1,0.04,-0.1,-0.1
,,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,1,14,3,21.4,3.54,0.76,0.07,0.33,24.9,2,0,0,1.2,1.2,0.09,-0.2,-0.2
,,3.3,1,5,2,40.0,1.54,0.61,0.2,0.5,15.8,0,0,0,0.4,0.4,0.08,0.6,0.6
,,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.9,1,4,2,50.0,1.38,0.69,0.25,0.5,18.8,0,0,0,0.4,0.4,0.1,0.6,0.6
,,3.1,0,2,0,0.0,0.65,0.0,0.0,0.0,7.7,0,0,0,0.3,0.3,0.14,-0.3,-0.3
,,3.2,3,9,4,44.4,2.83,1.26,0.33,0.75,11.5,0,0,0,1.9,1.9,0.21,1.1,1.1
,,1.4,0,3,2,66.7,2.16,1.44,0.0,0.0,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,3.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
