stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,1,30,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05
,,4,76,0.8,0,1,1.18,1,1.18,2,2.37,1,1.18,0,0,0,0,0.3,0.34,0.3,0.34,0.5,0.55,0.7,0.89
,,4,323,3.6,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.1,0.04,0.2,0.05
,,4,293,3.3,4,0,0.0,1,0.31,1,0.31,0,0.0,0,0,2,0,0.4,0.13,0.4,0.13,0.6,0.2,1.1,0.32
,,4,289,3.2,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.09,0.3,0.09,0.0,0.01,0.3,0.09
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.01,0.1,0.01
,,1,3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,10,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.62,0.1,0.62,0.1,0.86,0.2,1.48
,,4,312,3.5,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.05,0.2,0.05,1.4,0.41,1.6,0.46
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,170,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.04
,,1,10,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.18,0.0,0.18,0.1,0.62,0.1,0.8
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04
