stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,3,2.9,1,0,0,1,1,0,2,1.94,1,0,0,0,1,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.2,11,3.46,8,0,0,1,2,0,1,0.31,1,0,0,0,0,0
,,0.4,3,6.92,1,1,1,0,0,0,2,4.62,0,1,1,0,0,0
,,2.0,5,2.56,3,1,0,0,0,1,0,0.0,0,0,0,0,0,0
,,0.7,2,3.05,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,1.1,4,3.67,3,0,1,0,0,0,1,0.92,1,0,0,0,0,0
,,2.2,1,0.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,11,2.75,9,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.4,1,2.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,5,3.85,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,13,3.34,10,3,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.7,2,1.16,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.0,2,2.0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,3.4,12,3.54,7,2,1,1,0,1,0,0.0,0,0,0,0,0,0
,,3.2,8,2.54,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.1,8,7.5,5,0,1,0,1,1,2,1.87,1,0,0,0,0,1
,,3.8,2,0.53,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,7,3.46,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,1.0,1,0.96,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,1,0.67,0,0,0,1,0,0,1,0.67,0,0,0,1,0,0
,,0.6,3,5.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,2,1.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,9,3.39,8,0,0,1,0,0,3,1.13,3,0,0,0,0,0
,,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,4,1.5,3,1,0,0,0,0,1,0.37,0,1,0,0,0,0
,,3.8,3,0.79,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,1,1.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.6,4,2.45,4,0,0,0,0,0,1,0.61,1,0,0,0,0,0
,,2.1,4,1.93,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.8,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.6,2,3.1,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.9,6,6.51,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,12,3.09,10,2,0,0,0,0,1,0.26,1,0,0,0,0,0
,,4.0,7,1.75,5,0,0,2,0,0,1,0.25,0,0,0,1,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,2,0.5,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,7,1.75,2,5,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,3,1.55,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,0.1,2,16.36,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.3,12,3.6,9,0,2,0,1,0,3,0.9,1,0,1,0,1,0
,,1.2,6,5.09,3,0,0,1,2,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,3,0.75,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.5,3,1.22,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.1,5,1.64,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
