stat_id,player_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,1.0,2,0,0,0,0,1.3,0.33,-0.7,-0.68,2,11,18.2,40,2,27.5,30.8,12,1,8.3,0,0.0,1.0
,,3.0,8,0,0,2,1,5.8,0.43,-1.2,-0.4,6,31,19.4,72,13,26.4,32.9,27,2,7.4,1,0.33,12.5
,,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,21,2,9.5,2,2.0,16.3
,,3.0,0,0,0,0,0,0.4,0.2,0.4,0.14,9,20,45.0,62,11,17.7,26.1,38,5,13.2,1,0.33,10.6
,,4.0,6,2,0,0,0,4.6,0.27,-1.4,-0.36,24,68,35.3,97,13,55.7,39.6,69,2,2.9,2,0.5,9.1
,,1.0,3,0,0,0,0,1.9,0.27,-1.1,-1.14,5,15,33.3,25,3,56.0,38.0,11,0,0.0,0,0.0,8.0
,,4.0,5,1,0,0,0,5.7,0.29,0.7,0.18,23,49,46.9,103,13,30.1,31.8,59,2,3.4,2,0.5,12.4
,,4.0,8,3,0,2,1,7.8,0.2,0.8,0.2,6,34,17.6,143,30,21.7,27.6,61,5,8.2,3,0.75,9.8
,,4.0,6,0,0,0,1,4.6,0.36,-0.4,-0.09,9,21,42.9,155,22,12.3,25.0,34,1,2.9,17,4.25,24.3
,,4.0,4,1,0,0,0,5.7,0.38,1.7,0.41,6,29,20.7,79,16,22.8,29.5,45,1,2.2,3,0.75,21.0
,,4.0,3,0,0,0,0,7.5,0.3,4.5,1.13,27,82,32.9,139,24,36.7,36.3,78,2,2.6,1,0.25,11.0
,,4.0,5,1,0,1,0,4.4,0.22,-0.6,-0.14,16,69,23.2,83,10,55.4,41.4,55,3,5.5,4,1.0,14.7
,,1.0,0,0,0,0,0,0.7,0.19,0.7,0.74,4,20,20.0,19,4,36.8,33.1,15,0,0.0,1,1.0,17.5
,,4.0,4,1,0,1,0,5.3,0.27,1.3,0.32,18,48,37.5,99,6,33.3,32.5,77,2,2.6,2,0.5,12.2
,,1.0,0,0,0,0,0,0.8,0.26,0.8,0.77,1,9,11.1,37,6,24.3,31.4,5,0,0.0,0,0.0,15.5
,,2.0,1,0,0,0,0,0.5,0.18,-0.5,-0.23,9,23,39.1,53,4,34.0,30.6,28,0,0.0,2,1.0,14.8
,,4.0,6,0,0,1,0,4.3,0.41,-1.7,-0.43,25,49,51.0,129,14,37.2,33.8,38,8,21.1,4,1.0,11.0
,,3.0,5,0,0,0,0,4.3,0.33,-0.7,-0.23,9,33,27.3,85,10,35.3,32.9,38,1,2.6,2,0.67,15.3
,,4.0,6,0,0,3,0,5.2,0.34,-0.8,-0.21,12,30,40.0,92,23,23.9,29.4,56,3,5.4,5,1.25,13.4
,,4.0,7,0,0,1,1,5.8,0.38,-0.2,-0.04,6,18,33.3,123,23,12.2,26.5,37,2,5.4,6,1.5,13.6
,,4.0,3,0,0,0,0,3.3,0.16,0.3,0.06,4,12,33.3,125,21,8.0,22.3,47,2,4.3,2,0.5,12.8
,,2.8,2,0,1,0,0,4.0,0.24,2.0,0.71,18,48,37.5,107,18,36.4,35.0,53,4,7.5,3,1.06,11.6
,,4.0,3,1,0,0,0,3.5,0.18,0.5,0.12,10,33,30.3,127,11,17.3,28.4,64,1,1.6,0,0.0,11.6
,,3.0,3,0,0,0,0,3.1,0.24,0.1,0.03,8,25,32.0,78,14,28.2,28.8,20,1,5.0,3,1.0,17.0
,,2.0,3,0,0,2,0,3.5,0.45,0.5,0.26,24,48,50.0,61,4,55.7,37.5,43,0,0.0,2,1.0,20.3
,,4.0,2,0,0,1,0,2.9,0.21,0.9,0.22,21,76,27.6,112,12,56.3,42.0,75,6,8.0,2,0.5,9.6
