stat_id,player_id,mp,starts,min,ninety_s,ga,ga_per_90,sota,saves,save_percent,w,d,l,cs,cs_percent,pkatt,pka,pk_sv,pk_missed
,,1,1,90,1.0,2,2.0,4,2,50.0,0,1,0,0,0.0,0,0,0,0
,,3,3,270,3.0,8,2.67,15,8,46.7,1,0,2,0,0.0,0,0,0,0
,,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0
,,3,3,270,3.0,0,0.0,2,2,100.0,2,1,0,3,100.0,0,0,0,0
,,4,4,360,4.0,6,1.5,11,5,63.6,1,1,2,2,50.0,2,2,0,0
,,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0
,,4,4,360,4.0,5,1.25,17,12,76.5,1,2,1,1,25.0,1,1,0,0
,,4,4,360,4.0,8,2.0,27,20,81.5,0,1,3,1,25.0,3,3,0,0
,,4,4,360,4.0,6,1.5,13,8,53.8,1,2,1,1,25.0,0,0,0,0
,,4,4,360,4.0,4,1.0,13,9,76.9,3,0,1,2,50.0,1,1,0,0
,,4,4,360,4.0,3,0.75,24,20,87.5,2,2,0,2,50.0,1,0,1,0
,,4,4,360,4.0,5,1.25,17,12,76.5,2,0,2,2,50.0,1,1,0,0
,,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0
,,4,4,360,4.0,4,1.0,17,13,82.4,3,1,0,1,25.0,2,1,0,1
,,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0
,,2,2,180,2.0,1,0.5,3,2,66.7,0,1,1,1,50.0,0,0,0,0
,,4,4,360,4.0,6,1.5,11,5,45.5,2,1,1,0,0.0,0,0,0,0
,,3,3,270,3.0,5,1.67,13,8,61.5,0,1,2,0,0.0,0,0,0,0
,,4,4,360,4.0,6,1.5,15,9,60.0,0,2,2,1,25.0,0,0,0,0
,,4,4,360,4.0,7,1.75,13,6,46.2,0,3,1,0,0.0,1,0,1,0
,,4,4,360,4.0,3,0.75,14,10,78.6,2,2,0,2,50.0,1,0,1,0
,,2,2,180,2.8,2,1.0,17,15,88.2,1,1,1,0,0.0,0,0,0,0
,,4,4,360,4.0,3,0.75,14,11,85.7,0,3,1,2,50.0,1,1,0,0
,,3,3,270,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0
,,2,2,180,2.0,3,1.5,8,5,62.5,0,2,0,0,0.0,0,0,0,0
,,4,4,360,4.0,2,0.5,14,12,85.7,1,3,0,2,50.0,0,0,0,0
