stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
,,1.0,0,0,0,1,2,0,0,1,0,1,0,0,2,0,3,0.0
,,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
,,3.0,0,0,0,3,5,0,1,5,3,0,0,0,10,10,3,76.9
,,3.2,0,0,0,4,7,3,1,0,1,0,0,0,4,3,9,25.0
,,0.4,0,0,0,0,1,0,7,1,1,0,0,0,0,1,0,100.0
,,2.0,0,0,0,5,5,0,3,4,3,0,0,0,11,2,0,100.0
,,0.7,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,100.0
,,1.1,0,0,0,2,1,0,0,5,1,0,0,0,10,3,1,75.0
,,2.2,1,0,0,5,1,0,3,4,4,0,0,1,6,8,4,66.7
,,2.0,0,0,0,4,1,0,3,0,2,0,0,0,7,1,1,50.0
,,4.0,0,0,0,2,4,0,13,3,2,0,0,0,16,5,2,71.4
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
,,0.2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,100.0
,,0.4,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0.0
,,1.3,1,0,0,1,3,0,3,1,0,0,0,0,12,0,3,0.0
,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
,,3.9,0,0,0,2,1,0,28,5,4,0,0,0,18,6,1,85.7
,,1.7,0,0,0,4,1,0,3,1,1,0,0,0,6,4,4,50.0
,,1.0,0,0,0,3,1,0,0,2,0,0,1,0,4,6,2,75.0
,,3.4,1,0,0,3,2,0,18,3,7,0,0,0,18,3,4,42.9
,,3.2,0,0,0,1,5,0,2,1,3,0,0,0,9,4,1,80.0
,,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0
,,1.1,0,0,0,0,4,0,1,1,1,0,0,0,10,1,0,100.0
,,3.8,1,0,0,2,2,0,0,4,2,0,0,0,6,2,3,40.0
,,2.0,1,0,0,4,5,1,8,0,2,0,0,0,10,0,5,0.0
,,1.0,0,0,0,0,1,0,2,3,0,0,0,0,14,1,0,100.0
,,1.5,0,0,0,1,0,0,0,3,0,0,0,0,1,0,4,0.0
,,0.6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
,,2.0,0,0,0,2,1,0,0,3,0,0,0,0,7,3,6,33.3
,,2.7,0,0,0,3,4,0,4,0,2,0,0,0,14,0,2,0.0
,,4.0,0,0,0,5,0,0,0,4,4,0,0,0,5,9,7,56.3
,,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
,,2.7,0,0,0,3,2,0,6,2,3,0,0,0,9,4,4,50.0
,,3.8,2,0,0,5,1,0,0,2,5,0,0,0,20,0,2,0.0
,,1.0,0,0,0,1,1,0,5,0,0,0,0,0,4,1,0,100.0
,,1.6,0,0,0,0,2,0,5,2,1,0,0,0,5,3,2,60.0
,,2.1,0,0,0,3,5,1,1,0,2,0,0,0,7,6,8,42.9
,,0.8,0,0,0,0,3,1,0,0,0,0,0,0,4,1,3,25.0
,,0.6,0,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0.0
,,0.9,0,0,0,2,2,0,7,0,1,0,0,0,3,1,2,33.3
,,3.9,0,0,0,3,10,0,3,4,6,0,0,0,13,3,1,75.0
,,4.0,0,0,0,1,6,1,0,3,1,0,0,0,18,11,3,78.6
,,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
,,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
,,4.0,1,0,0,6,0,1,0,5,4,0,0,0,6,12,4,75.0
,,4.0,0,0,0,2,5,0,29,4,4,0,0,0,8,2,2,50.0
,,1.9,0,0,0,3,1,0,10,0,4,0,0,0,6,1,3,25.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
,,4.0,0,0,0,5,10,0,0,2,3,0,0,0,15,2,2,50.0
,,3.3,0,0,0,4,7,4,0,0,3,1,0,0,8,2,8,20.0
,,1.2,1,0,0,3,4,0,0,1,2,0,0,0,2,4,6,40.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,1.5,1,0,0,4,1,0,0,0,2,0,0,0,6,0,1,0.0
,,0.2,1,0,0,1,0,0,0,0,1,0,0,0,2,1,2,33.3
,,4.0,2,0,0,8,1,0,0,2,5,0,0,0,16,5,4,55.6
,,2.5,0,0,0,0,2,0,4,1,1,0,0,0,8,1,1,50.0
,,3.1,0,0,0,8,3,1,4,0,1,0,0,0,8,4,1,80.0
,,3.0,0,0,0,1,3,1,0,2,7,0,0,0,16,7,6,53.8
,,0.9,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0.0
,,0.5,1,0,0,3,0,0,4,0,1,0,0,0,3,1,1,50.0
,,1.6,0,0,0,3,2,0,7,3,2,0,0,0,7,1,0,100.0
,,2.1,1,0,0,6,2,0,0,0,0,0,0,0,2,4,1,80.0
