stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
,,1.0,14,13,1,0,1,0,0,0,0,0,0,0,10,0,0
,,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1
,,3.0,195,188,6,4,0,0,1,1,0,0,0,0,184,1,0
,,3.2,78,71,7,1,1,1,1,1,0,0,0,0,56,0,2
,,0.4,43,39,4,0,0,0,7,1,3,0,3,0,27,0,2
,,2.0,110,102,7,4,0,1,3,0,3,1,1,0,92,1,1
,,0.7,19,17,2,1,0,0,3,0,1,1,0,0,15,0,0
,,1.1,28,26,2,0,0,0,0,2,0,0,0,0,21,0,0
,,2.2,103,89,13,3,0,1,3,10,0,0,0,0,72,1,0
,,2.0,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0
,,4.0,305,266,39,6,0,2,13,32,1,0,1,0,256,0,2
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
,,0.2,8,6,2,1,0,0,1,0,1,0,1,0,5,0,0
,,0.4,15,15,0,0,0,0,1,0,0,0,0,0,10,0,0
,,1.3,126,117,8,2,1,0,3,0,5,0,2,0,109,1,2
,,1.0,40,37,3,3,0,0,0,0,0,0,0,0,30,0,0
,,3.9,212,166,45,7,0,0,28,29,9,1,8,0,150,1,3
,,1.7,102,89,13,3,0,0,3,10,0,0,0,0,91,0,4
,,1.0,60,59,1,1,0,0,0,0,0,0,0,0,56,0,1
,,3.4,132,122,10,0,0,0,18,10,0,0,0,0,90,0,4
,,3.2,136,133,3,2,1,0,2,0,1,0,0,0,106,0,1
,,0.2,9,8,1,0,0,0,1,0,1,0,1,0,7,0,0
,,1.1,42,41,1,0,0,1,1,1,0,0,0,0,38,0,0
,,3.8,137,134,3,3,0,0,0,0,0,0,0,0,124,0,0
,,2.0,56,56,0,0,1,1,8,0,0,0,0,0,46,0,0
,,1.0,65,60,5,3,0,0,2,0,2,2,0,0,57,0,1
,,1.5,30,27,3,3,0,0,0,0,0,0,0,0,25,0,0
