stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,0.1,1,1,100.0,21.0,7.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.0,1,3,33.3,44.0,32.0,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,1
,,1.0,10,14,71.4,149.0,25.0,6,9,66.7,3,4,75.0,1,1,100.0,1,0.1,0.1,0.9,1,1,0,1
,,0.1,4,6,66.7,55.0,19.0,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0
,,3.0,184,195,94.4,3203.0,1055.0,72,76,94.7,102,105,97.1,7,9,77.8,0,0.1,0.0,0.0,0,8,0,11
,,3.2,56,78,71.8,891.0,153.0,32,39,82.1,18,23,78.3,4,8,50.0,1,0.3,0.7,0.3,5,5,0,4
,,0.4,27,43,62.8,524.0,147.0,12,16,75.0,11,17,64.7,4,8,50.0,1,0.1,0.1,0.9,1,4,0,4
,,2.0,92,110,83.6,1726.0,422.0,42,47,89.4,39,44,88.6,11,13,84.6,0,0.3,0.2,-0.2,3,13,0,12
,,0.7,15,19,78.9,185.0,42.0,6,6,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1
,,1.1,21,28,75.0,279.0,75.0,13,15,86.7,6,8,75.0,1,2,50.0,1,0.3,0.8,0.2,2,0,0,2
,,2.2,72,103,69.9,1359.0,421.0,22,27,81.5,44,58,75.9,4,14,28.6,0,0.0,0.0,0.0,0,1,0,4
,,2.0,112,133,84.2,2140.0,528.0,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,14
,,4.0,256,305,83.9,4734.0,1849.0,113,118,95.8,115,134,85.8,26,48,54.2,0,0.3,0.2,-0.2,4,31,3,33
,,0.1,4,4,100.0,82.0,12.0,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,1
,,0.2,5,8,62.5,76.0,10.0,2,2,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0
,,0.4,10,15,66.7,125.0,42.0,6,8,75.0,3,5,60.0,0,0,0.0,0,0.1,0.0,0.0,0,0,0,3
,,1.3,109,126,86.5,1952.0,500.0,45,48,93.8,50,54,92.6,12,16,75.0,0,0.5,0.6,-0.6,2,12,1,7
,,1.0,30,40,75.0,648.0,422.0,10,10,100.0,16,16,100.0,4,14,28.6,0,0.0,0.0,0.0,0,0,0,0
