stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,7,0.1,0,0.0,0,1,7.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,-0.61
,,1,1,0.0,0,0.0,0,1,1.0,1,1.0,0,0,0,0.0,0.0,0.1,0.0,-3.09
,,2,93,1.0,1,73.0,0,1,20.0,0,2.0,5,0,5,4.84,2.4,0.6,1.9,1.82
,,1,5,0.1,0,0.0,0,1,5.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.71
,,3,270,3.0,3,90.0,3,0,0.0,1,2.33,8,2,6,2.0,5.5,3.7,1.8,0.6
,,4,286,3.2,3,85.0,1,1,31.0,0,2.0,3,3,0,0.0,4.2,5.9,-1.7,-0.54
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,39,0.4,0,0.0,0,2,20.0,0,0.5,1,0,1,2.31,1.1,0.7,0.4,0.95
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,176,2.0,2,62.0,0,2,26.0,0,0.75,0,3,-3,-1.53,1.4,2.2,-0.8,-0.38
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,59,0.7,0,0.0,0,2,30.0,1,0.0,0,0,0,0.0,0.5,0.5,-0.1,-0.12
,,4,98,1.1,0,0.0,0,4,25.0,0,1.0,1,4,-3,-2.76,1.1,2.1,-1.0,-0.92
,,3,194,2.2,2,90.0,2,1,14.0,0,0.33,1,4,-3,-1.39,1.4,3.4,-2.1,-0.97
,,2,180,2.0,2,90.0,2,0,0.0,0,1.0,1,1,0,0.0,1.6,2.3,-0.7,-0.36
,,4,360,4.0,4,90.0,4,0,0.0,0,0.75,2,3,-1,-0.25,5.6,5.4,0.2,0.06
