stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.1,2,0,1,1,0,0,2,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,0.0,4,0,0,2,2,1,4,0,0,0.0,0,0.0,3,2.0,1.0,0,0,0,1,0,4,2
,,1.0,26,3,3,12,11,6,25,1,0,0.0,1,100.0,10,23.0,6.0,0,0,0,2,0,16,6
,,0.1,8,1,2,3,3,0,8,0,0,0.0,0,0.0,5,25.0,18.0,0,1,0,2,0,5,0
,,3.0,219,22,94,120,6,1,219,0,0,0.0,0,0.0,165,850.0,496.0,2,1,0,1,1,171,1
,,3.2,101,1,8,53,41,9,101,2,1,50.0,1,50.0,61,223.0,84.0,2,1,0,7,1,74,18
,,0.4,48,1,6,26,16,1,48,2,2,100.0,0,0.0,28,196.0,104.0,4,1,0,0,0,31,1
,,2.0,130,1,11,82,38,3,130,2,0,0.0,1,50.0,65,266.0,110.0,3,1,2,2,0,89,5
,,0.7,26,2,3,9,16,0,26,3,2,66.7,1,33.3,15,69.0,29.0,0,2,0,1,1,18,2
,,1.1,45,2,15,18,14,3,45,2,2,100.0,0,0.0,21,172.0,117.0,2,1,1,2,0,19,2
,,2.2,132,16,63,54,16,5,132,1,1,100.0,0,0.0,76,375.0,169.0,2,4,0,1,5,79,2
,,2.0,140,6,24,103,14,0,140,0,0,0.0,0,0.0,84,388.0,196.0,2,0,0,1,2,103,1
,,4.0,335,15,101,179,58,1,335,2,1,50.0,1,50.0,201,1035.0,622.0,7,8,0,1,1,227,11
,,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19.0,3.0,0,1,0,0,0,4,0
,,0.2,10,0,2,7,1,0,10,0,0,0.0,0,0.0,2,14.0,10.0,1,0,0,0,0,3,0
,,0.4,21,1,3,4,14,5,21,0,0,0.0,0,0.0,13,69.0,37.0,1,0,1,0,1,17,9
,,1.3,143,1,29,90,24,3,143,0,0,0.0,0,0.0,94,629.0,316.0,3,3,0,2,0,114,7
,,1.0,40,36,40,0,0,0,40,0,0,0.0,0,0.0,31,113.0,61.0,0,0,0,0,0,32,0
,,3.9,260,20,73,100,93,1,260,13,8,61.5,5,38.5,115,786.0,394.0,11,8,0,5,4,136,18
,,1.7,116,8,40,59,17,1,116,1,0,0.0,1,100.0,56,338.0,150.0,3,0,1,1,1,75,7
,,1.0,73,3,17,39,17,3,73,1,0,0.0,1,100.0,51,305.0,156.0,3,6,0,1,0,51,8
,,3.4,170,10,45,64,63,7,170,6,4,66.7,1,16.7,90,618.0,390.0,14,10,3,1,4,102,14
,,3.2,161,7,38,102,22,4,161,2,1,50.0,0,0.0,80,259.0,93.0,2,2,1,4,1,107,3
,,0.2,10,0,2,5,3,0,10,0,0,0.0,0,0.0,6,23.0,15.0,0,0,0,0,0,7,1
,,1.1,59,1,11,18,32,6,59,5,2,40.0,2,40.0,33,284.0,167.0,7,6,2,0,0,33,6
,,3.8,189,43,125,61,3,0,189,0,0,0.0,0,0.0,78,291.0,146.0,1,0,0,4,0,116,0
,,2.0,79,1,14,33,34,6,79,6,2,33.3,1,16.7,55,413.0,221.0,6,2,5,4,4,54,15
,,1.0,74,2,21,48,6,0,74,0,0,0.0,0,0.0,45,249.0,103.0,0,0,0,0,2,45,0
,,1.5,42,4,28,13,1,1,42,0,0,0.0,0,0.0,19,62.0,26.0,0,0,0,0,0,24,0
,,0.6,25,1,2,11,12,3,25,1,0,0.0,1,100.0,20,117.0,35.0,2,1,0,1,0,20,5
,,2.0,127,21,71,52,4,1,127,0,0,0.0,0,0.0,72,385.0,241.0,2,1,0,1,0,79,0
,,2.7,183,3,29,100,54,3,183,4,3,75.0,0,0.0,138,594.0,227.0,1,2,0,4,4,148,9
,,4.0,179,42,115,56,8,5,179,0,0,0.0,0,0.0,67,302.0,145.0,1,1,0,2,0,88,1
,,0.2,24,1,4,19,1,0,24,0,0,0.0,0,0.0,18,126.0,43.0,2,0,0,0,0,20,0
,,2.7,243,20,83,124,38,0,243,0,0,0.0,0,0.0,171,916.0,536.0,7,6,0,2,0,177,13
,,3.8,184,11,45,119,22,1,184,10,7,70.0,3,30.0,123,793.0,383.0,3,0,0,4,5,133,1
