stat_id,team_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,4.0,8,0,0,2,1,6.5,0.38,-0.5,-0.11,10,51,19.6,91,17,28.6,32.9,42,2,4.8,2,0.5,12.5
,,4.0,7,0,0,1,1,5.8,0.38,-0.2,-0.04,6,18,33.3,122,23,12.3,26.5,37,2,5.4,6,1.5,13.6
,,4.0,6,0,0,3,0,5.2,0.34,-0.8,-0.21,12,30,40.0,89,23,24.7,29.4,56,3,5.4,5,1.25,13.4
,,4.0,7,0,0,0,0,5.6,0.33,-1.4,-0.35,11,44,25.0,111,12,36.9,32.9,50,2,4.0,2,0.5,15.3
,,4.0,2,0,0,1,0,2.9,0.21,0.9,0.22,21,76,27.6,90,12,70.0,42.0,75,6,8.0,2,0.5,9.6
,,4.0,6,0,0,0,0,5.0,0.25,-1.0,-0.26,13,40,32.5,103,17,35.0,38.0,31,1,3.2,3,0.75,8.0
,,4.0,5,1,0,0,0,5.7,0.29,0.7,0.18,23,49,46.9,98,13,31.6,31.8,59,2,3.4,2,0.5,12.4
,,4.0,5,1,0,1,0,4.4,0.22,-0.6,-0.14,16,69,23.2,83,10,55.4,41.4,55,3,5.5,4,1.0,14.7
,,4.0,3,0,0,0,0,3.3,0.16,0.3,0.06,4,12,33.3,120,21,8.3,22.3,47,2,4.3,2,0.5,12.8
,,4.0,0,0,0,0,0,1.2,0.24,1.2,0.29,10,29,34.5,97,17,20.6,31.4,43,5,11.6,1,0.25,15.5
,,4.0,6,0,0,1,0,4.3,0.41,-1.7,-0.43,25,49,51.0,113,14,42.5,33.8,38,8,21.1,4,1.0,11.0
,,4.0,6,2,0,0,0,4.6,0.27,-1.4,-0.36,24,68,35.3,81,13,66.7,39.6,69,2,2.9,2,0.5,9.1
,,4.0,6,0,0,0,1,4.6,0.36,-0.4,-0.09,9,21,42.9,147,22,12.9,25.0,34,1,2.9,17,4.25,24.3
,,4.0,4,0,0,2,0,4.1,0.37,0.1,0.01,33,71,46.5,102,8,51.0,37.5,71,0,0.0,4,1.0,20.3
,,4.0,4,1,0,0,0,5.7,0.38,1.7,0.41,6,29,20.7,78,16,23.1,29.5,45,1,2.2,3,0.75,21.0
,,4.0,7,0,1,1,0,6.8,0.28,-0.2,-0.05,21,76,27.6,150,24,40.7,33.9,82,7,8.5,5,1.67,16.3
,,4.0,3,1,0,0,0,3.5,0.18,0.5,0.12,10,33,30.3,114,11,19.3,28.4,64,1,1.6,0,0.0,11.6
,,4.0,3,0,0,0,0,7.5,0.3,4.5,1.13,27,82,32.9,134,24,38.1,36.3,78,2,2.6,1,0.25,11.0
,,4.0,4,1,0,1,0,5.3,0.27,1.3,0.32,18,48,37.5,76,6,43.4,32.5,77,2,2.6,2,0.5,12.2
,,4.0,8,3,0,2,1,7.8,0.2,0.8,0.2,6,34,17.6,137,30,22.6,27.6,61,5,8.2,3,0.75,9.8
