stat_id,team_id,ninety_s,tkl_tackles,tklw_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_challenges,att_challenges,tkl_percent_challenges,lost_challenges,blocks_blocks,sh_blocks,pass_blocks,interceptions,tkl_plus_int,clr,err
,,4.0,45,28,20,20,5,22,40,55.0,18,40,14,26,28,73,54,3
,,4.0,71,45,29,26,16,34,73,46.6,39,42,13,29,23,94,43,1
,,4.0,61,32,23,29,9,34,59,57.6,25,44,22,22,31,92,98,4
,,4.0,68,44,36,20,12,30,66,45.5,36,43,11,32,32,100,86,2
,,4.0,80,50,43,33,4,41,63,65.1,22,48,21,27,27,107,129,0
,,4.0,63,37,30,21,12,23,46,50.0,23,26,8,18,23,86,61,1
,,4.0,61,34,24,26,11,24,49,49.0,25,37,10,27,29,90,81,1
,,4.0,62,34,25,33,4,28,54,51.9,26,40,10,30,34,96,80,4
,,4.0,57,33,25,21,11,22,49,44.9,27,25,8,17,16,73,63,1
,,4.0,65,40,35,22,8,33,50,66.0,17,40,12,28,20,85,55,1
,,4.0,54,35,20,22,12,26,50,52.0,24,31,7,24,27,81,45,3
,,4.0,61,35,33,21,7,25,45,55.6,20,44,16,28,35,96,88,1
,,4.0,56,36,26,19,11,21,50,42.0,29,16,6,10,29,85,56,1
,,4.0,54,31,24,27,3,26,44,59.1,18,36,20,16,34,88,105,1
,,4.0,68,42,32,28,8,34,53,64.2,19,34,11,23,26,94,77,1
,,4.0,60,31,41,14,5,28,59,47.5,31,49,23,26,28,88,124,1
,,4.0,54,30,21,24,9,17,40,42.5,23,36,16,20,29,83,72,2
,,4.0,46,24,23,15,8,18,45,40.0,27,34,18,16,30,76,90,2
,,4.0,69,42,35,24,10,19,52,36.5,33,49,18,31,45,114,105,1
,,4.0,65,37,29,26,10,20,42,47.6,22,28,9,19,32,97,71,5
