stat_id,team_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,4.0,103,25.75,81,2,7,8,3,2,15,3.75,12,0,1,1,1,0
,,4.0,96,24.0,61,12,5,10,6,2,6,1.5,1,0,1,3,1,0
,,4.0,112,28.0,75,14,6,10,5,2,2,0.5,2,0,0,0,0,0
,,4.0,90,22.5,57,11,7,10,2,3,3,0.75,2,0,0,1,0,0
,,4.0,59,14.75,36,10,4,5,4,0,4,1.0,2,0,0,1,1,0
,,4.0,106,26.5,74,9,9,9,5,0,7,1.75,2,2,1,2,0,0
,,4.0,90,22.5,61,10,3,7,9,0,5,1.25,3,0,0,2,0,0
,,4.0,58,14.5,43,5,3,2,3,2,10,2.5,7,1,0,1,0,1
,,4.0,93,23.25,67,11,1,7,6,1,12,3.0,9,1,0,1,1,0
,,4.0,73,18.25,53,6,3,5,3,3,11,2.75,8,1,0,0,1,1
,,4.0,91,22.75,67,9,6,3,3,3,12,3.0,7,1,1,1,1,1
,,4.0,111,27.75,81,9,7,7,4,3,2,0.5,2,0,0,0,0,0
,,4.0,117,29.25,82,12,7,10,5,1,17,4.25,9,2,1,2,2,1
,,4.0,46,11.5,32,6,3,2,3,0,6,1.5,6,0,0,0,0,0
,,4.0,130,32.5,109,10,4,3,4,0,17,4.25,13,2,1,0,1,0
,,4.0,81,20.25,66,4,4,2,3,2,12,3.0,9,1,1,0,1,0
,,4.0,114,28.5,81,12,2,12,6,1,3,0.75,1,0,0,1,0,1
,,4.0,67,16.75,54,5,1,4,2,1,7,1.75,5,1,0,1,0,0
,,4.0,69,17.25,55,3,2,4,1,4,9,2.25,6,0,0,3,0,0
,,4.0,69,17.25,50,8,5,0,4,2,2,0.5,2,0,0,0,0,0
