stat_id,team_id,mp,starts,min,ninety_s,ga,ga_per_90,sota,saves,save_percent,w,d,l,cs,cs_percent
,,4,4,360,4.0,8,2.0,19,12,57.9,2,0,2,1,25.0
,,4,4,360,4.0,7,1.75,13,6,46.2,0,3,1,0,0.0
,,4,4,360,4.0,6,1.5,15,9,60.0,0,2,2,1,25.0
,,4,4,360,4.0,7,1.75,17,10,58.8,0,2,2,0,0.0
,,4,4,360,4.0,2,0.5,14,12,85.7,1,3,0,2,50.0
,,4,4,360,4.0,6,1.5,20,14,70.0,0,3,1,1,25.0
,,4,4,360,4.0,5,1.25,17,12,76.5,1,2,1,1,25.0
,,4,4,360,4.0,5,1.25,17,12,76.5,2,0,2,2,50.0
,,4,4,360,4.0,3,0.75,14,10,78.6,2,2,0,2,50.0
,,4,4,360,4.0,0,0.0,5,5,100.0,2,2,0,4,100.0
,,4,4,360,4.0,6,1.5,11,5,45.5,2,1,1,0,0.0
,,4,4,360,4.0,6,1.5,11,5,63.6,1,1,2,2,50.0
,,4,4,360,4.0,6,1.5,13,8,53.8,1,2,1,1,25.0
,,4,4,360,4.0,4,1.0,11,7,63.6,0,3,1,1,25.0
,,4,4,360,4.0,4,1.0,13,9,76.9,3,0,1,2,50.0
,,4,4,270,4.0,7,2.33,25,18,72.0,1,1,2,0,0.0
,,4,4,360,4.0,3,0.75,14,11,85.7,0,3,1,2,50.0
,,4,4,360,4.0,3,0.75,24,20,87.5,2,2,0,2,50.0
,,4,4,360,4.0,4,1.0,17,13,82.4,3,1,0,1,25.0
,,4,4,360,4.0,8,2.0,27,20,81.5,0,1,3,1,25.0
