stat_id,team_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,4.0,10,0,0,69,42,4,74,28,28,2,0,1,144,67,57,54.0
,,4.0,3,0,0,61,56,8,92,23,45,1,1,1,177,58,36,61.7
,,4.0,8,0,0,62,35,6,104,31,32,0,0,0,171,77,68,53.1
,,4.0,8,0,0,48,46,7,73,32,44,0,0,0,169,47,63,42.7
,,4.0,7,0,0,56,52,5,50,27,50,1,0,0,146,51,72,41.5
,,4.0,8,1,1,48,65,11,79,23,37,0,0,0,139,66,67,49.6
,,4.0,7,0,0,50,47,3,82,29,34,0,1,0,135,73,79,48.0
,,4.0,14,0,0,49,38,7,60,34,34,0,1,0,161,53,78,40.5
,,4.0,4,0,0,50,48,17,81,16,33,1,1,0,137,62,51,54.9
,,4.0,6,0,0,40,42,8,56,20,40,1,0,0,154,40,20,66.7
,,4.0,8,0,0,49,43,7,118,27,35,1,0,0,134,48,51,48.5
,,4.0,6,1,0,45,56,3,72,35,35,0,2,0,159,66,79,45.5
,,4.0,8,0,0,44,39,2,94,29,36,2,0,1,150,37,31,54.4
,,4.0,9,0,0,58,62,3,60,34,31,0,0,0,122,92,66,58.2
,,4.0,7,0,0,47,57,9,74,26,42,0,1,0,173,56,51,52.3
,,4.0,9,2,2,38,50,5,25,28,31,1,0,0,132,30,41,42.3
,,4.0,5,0,0,41,45,3,87,29,30,0,1,0,139,50,47,51.5
,,4.0,12,0,0,46,44,6,59,30,24,0,1,0,125,55,74,42.6
,,4.0,14,1,1,66,39,9,63,45,42,1,2,0,133,57,52,52.3
,,4.0,9,1,1,51,48,8,48,32,37,0,3,1,137,54,56,49.1
