stat_id,team_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,4.0,1920,1735,181,50,3,13,74,68,18,5,7,0,1599,4,23
,,4.0,2391,2167,216,63,8,23,92,99,23,5,16,0,1992,8,40
,,4.0,1789,1596,187,48,3,6,104,75,27,3,23,0,1353,6,34
,,4.0,1834,1647,180,60,5,8,73,72,16,3,10,0,1486,7,40
,,4.0,1237,1058,174,55,3,9,50,58,19,3,13,0,884,5,27
,,4.0,2026,1807,208,77,1,15,79,75,25,7,12,1,1636,11,35
,,4.0,1505,1329,173,54,1,8,82,65,11,2,8,0,1159,3,23
,,4.0,1539,1386,146,41,4,17,60,55,12,7,4,0,1169,7,23
,,4.0,2368,2172,179,53,13,9,81,74,25,7,9,0,2050,17,28
,,4.0,2414,2258,148,42,6,9,56,62,18,6,10,0,2141,8,26
,,4.0,2152,1943,202,50,9,9,118,86,33,18,12,0,1814,7,29
,,4.0,1574,1379,192,63,3,3,72,59,25,15,7,0,1227,3,19
,,4.0,2303,2143,158,47,7,11,94,53,31,21,3,0,2015,2,24
,,4.0,1898,1690,205,70,0,8,60,72,12,5,6,0,1539,3,28
,,4.0,1941,1725,207,63,14,10,74,82,22,12,6,0,1557,9,48
,,4.0,1567,1381,181,62,6,14,25,56,16,1,2,1,1253,5,17
,,4.0,2168,1949,216,51,3,8,87,99,20,9,8,1,1812,3,33
,,4.0,1859,1690,163,46,5,2,59,49,11,10,0,0,1519,6,23
,,4.0,1442,1254,179,49,2,13,63,61,19,7,8,0,1116,9,27
,,4.0,1496,1330,158,55,7,11,48,59,10,3,4,0,1192,8,29
