stat_id,team_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,kp,one_third,crspa,prgp
,,4.0,1599,1920,83.3,28344.0,9149.0,677,747,90.6,741,834,88.8,155,266,58.3,6,46,140,16,171
,,4.0,1992,2391,83.3,38444.0,11982.0,698,782,89.3,1015,1150,88.3,241,349,69.1,2,41,184,13,188
,,4.0,1353,1789,75.6,25262.0,9387.0,528,618,85.4,671,804,83.5,140,290,48.3,1,42,117,7,141
,,4.0,1486,1834,81.0,25885.0,8958.0,664,745,89.1,644,729,88.3,134,255,52.5,2,37,92,7,135
,,4.0,884,1237,71.5,15870.0,6292.0,387,480,80.6,368,455,80.9,102,225,45.3,2,29,71,3,90
,,4.0,1636,2026,80.8,29920.0,9525.0,662,742,89.2,798,907,88.0,152,296,51.4,3,43,105,6,142
,,4.0,1159,1505,77.0,21568.0,8521.0,477,545,87.5,516,615,83.9,134,267,50.2,2,35,99,13,117
,,4.0,1169,1539,76.0,19991.0,6910.0,555,626,88.7,469,582,80.6,102,242,42.1,4,24,90,5,110
,,4.0,2050,2368,86.6,35438.0,11105.0,896,973,92.1,976,1066,91.6,141,231,61.0,4,36,149,14,187
,,4.0,2141,2414,88.7,38544.0,11200.0,866,919,94.2,1058,1154,91.7,185,265,69.8,4,33,112,9,128
,,4.0,1814,2152,84.3,32620.0,10379.0,771,839,91.9,810,906,89.4,189,295,64.1,4,39,147,13,160
,,4.0,1227,1574,78.0,21707.0,8803.0,568,634,89.6,485,576,84.2,145,300,48.3,1,50,99,15,102
,,4.0,2015,2303,87.5,34235.0,10750.0,921,999,92.2,931,1025,90.8,135,221,61.1,6,50,143,10,196
,,4.0,1539,1898,81.1,28397.0,9317.0,627,703,89.2,732,830,88.2,157,282,55.7,3,19,84,5,94
,,4.0,1557,1941,80.2,25135.0,9701.0,794,894,88.8,621,731,85.0,103,206,50.0,9,59,139,11,203
,,4.0,1253,1567,80.0,22879.0,8496.0,531,606,87.6,537,611,87.9,144,267,53.9,5,35,64,3,90
,,4.0,1812,2168,83.6,31474.0,10194.0,828,907,91.3,798,901,88.6,152,270,56.3,1,49,128,10,161
,,4.0,1519,1859,81.7,27297.0,9746.0,646,733,88.1,690,772,89.4,144,269,53.5,3,28,96,6,114
,,4.0,1116,1442,77.4,20868.0,7856.0,439,497,88.3,477,565,84.4,153,273,56.0,5,28,83,16,94
,,4.0,1192,1496,79.7,20374.0,7738.0,526,599,87.8,547,633,86.4,87,185,47.0,1,27,54,7,82
