stat_id,team_id,age,mp,min,mn_per_mp,min_percent,ninety_s,starts,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,27.1,4,360,90.0,100.0,4.0,44,83.0,28,16,18.0,32,1.5,8,8,0,0.0,7.8,7.0,0.8,0.2
,,26.9,4,360,90.0,100.0,4.0,44,80.0,24,20,23.0,35,0.75,4,7,-3,-0.75,6.3,5.5,0.8,0.2
,,27.4,4,360,90.0,100.0,4.0,44,80.0,26,18,24.0,38,0.5,1,6,-5,-1.25,4.6,6.0,-1.4,-0.35
,,28.7,4,360,90.0,100.0,4.0,44,79.0,25,20,25.0,26,0.5,3,7,-4,-1.0,4.4,4.1,0.3,0.06
,,25.7,4,360,90.0,100.0,4.0,44,83.0,25,19,17.0,28,1.5,3,2,1,0.25,4.6,4.7,-0.1,-0.02
,,27.1,4,360,90.0,100.0,4.0,44,80.0,23,20,22.0,31,0.75,5,6,-1,-0.25,5.4,4.3,1.1,0.27
,,27.8,4,360,90.0,100.0,4.0,44,80.0,26,18,25.0,31,1.25,4,5,-1,-0.25,5.5,6.0,-0.5,-0.13
,,25.8,4,360,90.0,100.0,4.0,44,79.0,24,20,24.0,40,1.5,6,5,1,0.25,4.6,4.9,-0.3,-0.08
,,30.1,4,360,90.0,100.0,4.0,44,81.0,24,20,20.0,27,2.0,9,3,6,1.5,7.2,4.0,3.2,0.8
,,24.7,4,360,90.0,100.0,4.0,44,81.0,27,17,23.0,21,2.0,6,0,6,1.5,3.8,1.5,2.3,0.58
,,27.6,4,360,90.0,100.0,4.0,44,82.0,24,20,18.0,27,1.75,8,6,2,0.5,7.0,3.6,3.4,0.85
,,26.1,4,360,90.0,100.0,4.0,44,80.0,25,18,22.0,38,1.0,1,6,-5,-1.25,5.1,6.4,-1.3,-0.32
,,26.1,4,360,90.0,100.0,4.0,44,82.0,26,18,20.0,26,1.25,9,6,3,0.75,7.5,5.0,2.5,0.63
,,27.4,4,360,90.0,100.0,4.0,44,82.0,29,15,23.0,34,0.75,3,4,-1,-0.25,1.3,4.8,-3.5,-0.88
,,28.7,4,360,90.0,100.0,4.0,44,82.0,28,16,21.0,31,2.25,9,4,5,1.25,7.5,5.1,2.4,0.6
,,24.0,4,360,90.0,100.0,4.0,44,79.0,24,19,23.0,28,1.0,6,7,-1,-0.25,6.0,7.3,-1.3,-0.33
,,26.5,4,360,90.0,100.0,4.0,44,81.0,26,18,22.0,39,0.75,2,3,-1,-0.25,5.6,5.4,0.2,0.06
,,27.7,4,360,90.0,100.0,4.0,44,81.0,25,19,20.0,32,2.0,5,3,2,0.5,4.9,7.6,-2.7,-0.68
,,27.3,4,360,90.0,100.0,4.0,44,81.0,24,19,20.0,31,2.5,7,4,3,0.75,5.2,6.9,-1.7,-0.42
,,26.8,4,360,90.0,100.0,4.0,44,80.0,23,20,20.0,27,0.25,1,8,-7,-1.75,2.3,6.5,-4.2,-1.05
