stat_id,team_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,4.0,2287,203,647,1045,619,97,2285,50,19,38.0,27,54.0,1314,6922.0,3526.0,69,56,20,58,39,1584,169
,,4.0,2776,223,768,1308,725,96,2775,71,23,32.4,38,53.5,1545,7918.0,3858.0,65,41,18,53,40,1982,188
,,4.0,2233,249,781,949,528,90,2233,68,32,47.1,30,44.1,1151,6671.0,3506.0,69,55,17,39,39,1335,141
,,4.0,2218,229,717,1015,509,80,2217,56,29,51.8,25,44.6,1206,6313.0,3133.0,65,58,17,46,47,1459,135
,,4.0,1694,274,674,717,328,55,1693,62,26,41.9,23,37.1,779,4236.0,2116.0,43,28,14,58,34,875,88
,,4.0,2392,235,766,1121,521,85,2392,70,31,44.3,24,34.3,1407,7752.0,3851.0,78,59,18,48,38,1618,141
,,4.0,1930,223,653,868,431,68,1929,47,20,42.6,22,46.8,971,5282.0,2776.0,53,42,7,54,38,1142,114
,,4.0,1923,206,633,925,389,49,1922,58,28,48.3,25,43.1,1032,6074.0,2946.0,48,41,16,43,34,1161,110
,,4.0,2711,249,743,1327,661,101,2710,37,9,24.3,23,62.2,1722,9088.0,4785.0,57,58,14,43,24,2034,184
,,4.0,2791,232,936,1403,470,67,2790,67,29,43.3,33,49.3,1632,8892.0,4465.0,79,51,20,66,26,2116,126
,,4.0,2489,201,656,1248,606,93,2488,59,32,54.2,21,35.6,1582,8977.0,4584.0,86,57,21,59,37,1803,160
,,4.0,2008,253,696,910,427,75,2008,58,22,37.9,22,37.9,1084,5828.0,2723.0,55,39,19,49,25,1217,102
,,4.0,2653,198,790,1199,688,120,2651,62,29,46.8,29,46.8,1719,9194.0,5127.0,110,72,36,42,27,2000,194
,,4.0,2303,312,911,1052,352,41,2303,54,23,42.6,23,42.6,1391,6807.0,2974.0,45,38,4,53,41,1524,93
,,4.0,2384,211,647,1050,716,118,2384,80,30,37.5,35,43.8,1388,7715.0,3983.0,91,63,32,48,40,1545,201
,,4.0,2027,367,851,808,385,72,2026,59,26,44.1,22,37.3,947,5011.0,2768.0,58,29,20,65,32,1243,88
,,4.0,2592,252,776,1116,724,113,2592,68,22,32.4,39,57.4,1541,9043.0,4732.0,82,75,17,65,32,1794,161
,,4.0,2211,327,812,1014,403,56,2211,27,11,40.7,13,48.1,1302,6370.0,3210.0,42,40,7,47,27,1507,114
,,4.0,1900,289,760,769,400,65,1899,70,34,48.6,33,47.1,867,4904.0,2563.0,49,43,12,54,28,1103,92
,,4.0,1852,292,784,764,333,65,1852,51,29,56.9,18,35.3,1102,6076.0,3127.0,54,41,10,60,47,1171,81
