stat_id,team_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,4.0,8,58,21,36.2,14.5,5.25,0.12,0.33,15.2,1,1,2,7.8,6.2,0.11,0.2,0.8
,,4.0,4,57,14,24.6,14.25,3.5,0.05,0.21,17.0,3,1,1,6.3,5.6,0.1,-2.3,-2.6
,,4.0,1,64,14,21.9,16.0,3.5,0.02,0.07,15.7,1,0,0,4.6,4.6,0.07,-3.6,-3.6
,,4.0,2,51,12,23.5,12.75,3.0,0.04,0.17,17.8,0,0,1,4.4,3.7,0.07,-2.4,-1.7
,,4.0,3,35,10,28.6,8.75,2.5,0.06,0.2,16.2,1,1,1,4.6,3.8,0.12,-1.6,-1.8
,,4.0,5,60,26,43.3,15.0,6.5,0.08,0.19,17.1,2,0,0,5.4,5.4,0.1,-0.4,-0.4
,,4.0,4,54,15,27.8,13.5,3.75,0.07,0.27,19.0,4,0,1,5.5,4.6,0.09,-1.5,-0.6
,,4.0,6,32,9,28.1,8.0,2.25,0.16,0.56,18.3,2,1,1,4.6,3.8,0.12,1.4,1.2
,,4.0,8,56,15,26.8,14.0,3.75,0.13,0.47,15.3,2,1,1,7.2,6.4,0.12,0.8,0.6
,,4.0,6,43,14,32.6,10.75,3.5,0.12,0.36,18.7,2,1,1,3.8,3.0,0.07,2.2,2.0
,,4.0,7,50,20,40.0,12.5,5.0,0.12,0.3,16.7,0,1,1,7.0,6.2,0.13,0.0,-0.2
,,4.0,1,68,17,25.0,17.0,4.25,0.01,0.06,18.2,2,0,0,5.1,5.1,0.08,-4.1,-4.1
,,4.0,9,63,20,31.7,15.75,5.0,0.11,0.35,18.6,1,2,2,7.5,6.0,0.1,1.5,1.0
,,4.0,3,24,8,33.3,6.0,2.0,0.13,0.38,18.0,1,0,0,1.3,1.3,0.05,1.7,1.7
,,4.0,9,72,21,29.2,18.0,5.25,0.13,0.43,17.3,1,0,0,7.5,7.5,0.1,1.5,1.5
,,4.0,6,44,15,34.1,11.0,3.75,0.11,0.33,18.2,1,1,1,6.0,5.2,0.12,0.0,-0.2
,,4.0,2,65,16,24.6,16.25,4.0,0.03,0.13,17.1,1,0,0,5.6,5.6,0.09,-3.6,-3.6
,,4.0,4,37,14,37.8,9.25,3.5,0.11,0.29,16.4,2,0,0,4.9,4.9,0.14,-0.9,-0.9
,,4.0,7,39,12,30.8,9.75,3.0,0.18,0.58,16.0,0,0,1,5.2,4.4,0.12,1.8,2.6
,,4.0,1,38,11,28.9,9.5,2.75,0.03,0.09,19.4,2,0,0,2.3,2.3,0.06,-1.3,-1.3
