stat_id,team_id,age,poss,mp,starts,min,ninety_s,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,27.1,51.5,4,44,360,4.0,8,2.0,6,1.5,14,3.5,7,1.75,1,2,10,0,7.8,1.94,6.2,1.55,4.5,1.13,10.7,2.68
,,26.9,64.8,4,44,360,4.0,4,1.0,2,0.5,6,1.5,3,0.75,1,1,3,0,6.3,1.58,5.6,1.4,4.0,0.99,9.5,2.39
,,27.4,51.5,4,44,360,4.0,1,0.25,1,0.25,2,0.5,1,0.25,0,0,8,0,4.6,1.16,4.6,1.16,3.7,0.92,8.3,2.08
,,28.7,49.0,4,44,360,4.0,2,0.5,2,0.5,4,1.0,2,0.5,0,1,8,0,4.4,1.1,3.7,0.92,3.0,0.76,6.7,1.68
,,25.7,33.0,4,44,360,4.0,3,0.75,2,0.5,5,1.25,2,0.5,1,1,7,0,4.6,1.15,3.8,0.96,2.5,0.62,6.3,1.58
,,27.1,58.0,4,44,360,4.0,5,1.25,3,0.75,8,2.0,5,1.25,0,0,8,1,5.4,1.34,5.4,1.34,3.7,0.92,9.0,2.26
,,27.8,42.3,4,44,360,4.0,4,1.0,2,0.5,6,1.5,4,1.0,0,1,7,0,5.5,1.37,4.6,1.14,3.2,0.81,7.8,1.95
,,25.8,40.0,4,44,360,4.0,6,1.5,4,1.0,10,2.5,5,1.25,1,1,14,0,4.6,1.15,3.8,0.95,3.3,0.82,7.1,1.77
,,30.1,61.0,4,44,360,4.0,8,2.0,4,1.0,12,3.0,7,1.75,1,1,4,0,7.2,1.8,6.4,1.6,4.4,1.1,10.8,2.71
,,24.7,57.8,4,44,360,4.0,6,1.5,4,1.0,10,2.5,5,1.25,1,1,6,0,3.8,0.95,3.0,0.76,2.5,0.63,5.6,1.39
,,27.6,57.8,4,44,360,4.0,7,1.75,4,1.0,11,2.75,6,1.5,1,1,8,0,7.0,1.75,6.2,1.55,4.9,1.23,11.1,2.78
,,26.1,42.3,4,44,360,4.0,1,0.25,1,0.25,2,0.5,1,0.25,0,0,6,1,5.1,1.28,5.1,1.28,4.3,1.07,9.4,2.35
,,26.1,59.0,4,44,360,4.0,9,2.25,6,1.5,15,3.75,7,1.75,2,2,8,0,7.5,1.89,6.0,1.5,4.9,1.24,10.9,2.73
,,27.4,50.5,4,44,360,4.0,3,0.75,3,0.75,6,1.5,3,0.75,0,0,9,0,1.3,0.33,1.3,0.33,1.2,0.29,2.5,0.62
,,28.7,52.5,4,44,360,4.0,9,2.25,9,2.25,18,4.5,9,2.25,0,0,7,0,7.5,1.88,7.5,1.88,6.8,1.7,14.3,3.57
,,24.0,42.5,4,44,360,4.0,6,1.5,5,1.25,11,2.75,5,1.25,1,1,9,2,6.0,1.49,5.2,1.3,4.2,1.06,9.4,2.36
,,26.5,58.3,4,44,360,4.0,2,0.5,1,0.25,3,0.75,2,0.5,0,0,5,0,5.6,1.4,5.6,1.4,4.0,0.99,9.5,2.39
,,27.7,49.3,4,44,360,4.0,4,1.0,3,0.75,7,1.75,4,1.0,0,0,12,0,4.9,1.21,4.9,1.21,3.5,0.87,8.3,2.09
,,27.3,39.5,4,44,360,4.0,7,1.75,5,1.25,12,3.0,7,1.75,0,1,14,1,5.2,1.3,4.4,1.1,3.6,0.89,7.9,1.98
,,26.8,39.8,4,44,360,4.0,1,0.25,1,0.25,2,0.5,1,0.25,0,0,9,1,2.3,0.58,2.3,0.58,1.8,0.45,4.1,1.03
