stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,1,2,2,100.0,1.94,1.94,0.0,0.0,19.6,0,1,1,1.0,0.2,0.13,0.0,-0.2
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.2,1,5,4,80.0,1.57,1.26,0.2,0.25,16.6,0,0,0,1.1,1.1,0.23,-0.1,-0.1
,,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.0,0,3,2,66.7,1.53,1.02,0.0,0.0,25.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1
,,0.7,0,1,0,0.0,1.53,0.0,0.0,0.0,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0
,,1.1,0,2,2,100.0,1.84,1.84,0.0,0.0,19.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2
,,2.2,0,3,1,33.3,1.39,0.46,0.0,0.0,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
,,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,29.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.4,0,2,0,0.0,4.5,0.0,0.0,0.0,4.7,0,0,0,0.9,0.9,0.44,-0.9,-0.9
,,1.3,0,3,1,33.3,2.31,0.77,0.0,0.0,17.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4
,,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.9,0,2,0,0.0,0.51,0.0,0.0,0.0,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,3,0,0.0,3.0,0.0,0.0,0.0,10.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
,,3.4,0,6,3,50.0,1.77,0.89,0.0,0.0,14.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5
,,3.2,0,3,0,0.0,0.95,0.0,0.0,0.0,14.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.1,0,4,0,0.0,3.75,0.0,0.0,0.0,18.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.0,0,4,1,25.0,1.98,0.49,0.0,0.0,15.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4
,,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,15.9,0,0,0,0.0,0.0,0.01,0.0,0.0
,,0.6,0,2,2,100.0,3.33,3.33,0.0,0.0,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.7,1,4,1,25.0,1.51,0.38,0.25,1.0,20.9,0,0,0,0.2,0.2,0.04,0.8,0.8
,,4.0,0,3,1,33.3,0.75,0.25,0.0,0.0,11.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.8,0,2,0,0.0,0.53,0.0,0.0,0.0,25.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
,,1.0,0,1,0,0.0,1.03,0.0,0.0,0.0,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0
,,1.6,0,1,1,100.0,0.61,0.61,0.0,0.0,22.3,0,0,0,0.0,0.0,0.05,0.0,0.0
,,2.1,0,6,0,0.0,2.89,0.0,0.0,0.0,15.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6
,,0.8,0,2,0,0.0,2.61,0.0,0.0,0.0,17.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
,,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
