stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,1,7,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,93,1.0,1,1,0.97,1,0.97,2,1.94,0,0.0,1,1,0,0,1.0,1.0,0.2,0.24,0.1,0.09,0.3,0.33
,,1,5,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,286,3.2,3,1,0.31,1,0.31,2,0.63,1,0.31,0,0,0,0,1.1,0.36,1.1,0.36,0.7,0.23,1.9,0.59
,,2,39,0.4,0,0,0.0,1,2.31,1,2.31,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.3
,,4,176,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.06,0.1,0.06,0.2,0.1,0.3,0.16
,,2,59,0.7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.03,0.0,0.04
,,4,98,1.1,0,0,0.0,1,0.92,1,0.92,0,0.0,0,0,0,0,0.2,0.16,0.2,0.16,0.8,0.76,1.0,0.92
,,3,194,2.2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.07,0.2,0.07,0.0,0.0,0.2,0.07
,,2,180,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.2,0.04,0.2,0.06
,,1,6,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,14,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,40,0.4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.9,1.96,0.9,1.96,0.0,0.0,0.9,1.96
,,4,117,1.3,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,0.28,0.4,0.28,0.6,0.44,0.9,0.71
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,350,3.9,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.4,0.1,0.5,0.12
,,4,155,1.7,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.21,0.2,0.21,0.0,0.0,0.2,0.21
,,4,305,3.4,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.5,0.14,0.5,0.14,0.3,0.1,0.8,0.24
,,4,284,3.2,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.07,0.2,0.07,0.2,0.05,0.4,0.13
,,1,22,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,96,1.1,0,0,0.0,1,0.94,1,0.94,0,0.0,0,0,0,0,0.2,0.21,0.2,0.21,0.1,0.13,0.4,0.35
,,4,339,3.8,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,182,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,0.2,0.4,0.2,0.2,0.09,0.6,0.3
,,2,94,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03
,,2,134,1.5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
,,1,54,0.6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.13,0.1,0.13,0.3,0.47,0.4,0.6
,,2,180,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,239,2.7,3,1,0.38,1,0.38,2,0.75,1,0.38,0,0,0,0,0.2,0.06,0.2,0.06,0.7,0.26,0.9,0.32
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.04,0.2,0.04,0.0,0.0,0.2,0.05
,,1,21,0.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,240,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.04
,,4,340,3.8,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,1,87,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.03,0.0,0.03,0.1,0.07,0.1,0.11
,,2,147,1.6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.03,0.0,0.03,0.2,0.13,0.3,0.16
,,4,187,2.1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.6,0.3,0.6,0.3,0.0,0.01,0.7,0.31
,,2,69,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.15,0.1,0.15,0.0,0.02,0.1,0.17
,,1,58,0.6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.14,0.1,0.14
,,3,83,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.13,0.1,0.13,0.1,0.15,0.3,0.27
,,4,349,3.9,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.2,0.05,0.3,0.08
,,4,360,4.0,4,0,0.0,1,0.25,1,0.25,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.6,0.15,0.7,0.18
,,1,19,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,18,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02
,,4,360,4.0,4,1,0.25,0,0.0,1,0.25,1,0.25,0,0,0,0,0.1,0.03,0.1,0.03,0.2,0.06,0.4,0.09
,,2,174,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.02,0.1,0.04
,,1,11,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.0,0.01,0.1,0.02
,,4,300,3.3,4,2,0.6,1,0.3,3,0.9,1,0.3,1,1,0,0,1.5,0.44,0.7,0.2,0.6,0.17,1.2,0.37
,,2,106,1.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1
,,1,4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,138,1.5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,21,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,1.77,0.4,1.77,0.1,0.33,0.5,2.1
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.03,0.1,0.03,0.0,0.0,0.1,0.03
,,4,221,2.5,3,1,0.41,1,0.41,2,0.81,1,0.41,0,0,0,0,0.5,0.2,0.5,0.2,0.1,0.04,0.6,0.24
,,4,276,3.1,3,2,0.65,0,0.0,2,0.65,2,0.65,0,0,0,0,0.3,0.1,0.3,0.1,0.3,0.11,0.6,0.21
,,3,270,3.0,3,1,0.33,0,0.0,1,0.33,1,0.33,0,0,0,0,0.6,0.21,0.6,0.21,0.0,0.02,0.7,0.23
,,1,78,0.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05
,,3,48,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.09,0.0,0.09,0.1,0.11,0.1,0.2
,,2,148,1.6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.11,0.2,0.11
