player_name,nation,position,age,date_of_birth
Junior Adamu,AUT,FW,23.0,2001.0
Karim Adeyemi,GER,"FW,MF",22.0,2002.0
Amine Adli,MAR,"MF,FW",24.0,2000.0
Oladapo Afolayan,ENG,FW,26.0,1998.0
Felix Agu,GER,DF,24.0,1999.0
Kevin Akpoguma,NGA,DF,29.0,1995.0
Andreas Albers,DEN,FW,34.0,1990.0
Skelly Alvero,FRA,MF,22.0,2002.0
Aurele Amenda,SUI,DF,21.0,2003.0
Nadiem Amiri,GER,MF,27.0,1996.0
Mohamed Amoura,ALG,"MF,FW",24.0,2000.0
Robert Andrich,GER,MF,29.0,1994.0
Waldemar Anton,GER,DF,28.0,1996.0
Maximilian Arnold,GER,MF,30.0,1994.0
Jann-Fiete Arp,GER,FW,24.0,2000.0
Arthur,BRA,DF,21.0,2003.0
Noah Atubolu,GER,GK,22.0,2002.0
Ridle Baku,GER,"FW,MF",26.0,1998.0
Aliou Baldé,GUI,"MF,FW",21.0,2002.0
Samuel Bamba,GER,"FW,MF",20.0,2004.0
Aymen Barkok,MAR,"MF,DF",26.0,1998.0
Maximilian Bauer,GER,DF,24.0,2000.0
Oliver Baumann,GER,GK,34.0,1990.0
Christoph Baumgartner,AUT,"DF,MF",25.0,1999.0
Adrian Beck,GER,FW,27.0,1997.0
Timo Becker,GER,DF,27.0,1997.0
Kevin Behrens,GER,FW,33.0,1991.0
Maximilian Beier,GER,FW,21.0,2002.0
Stefan Bell,GER,DF,33.0,1991.0
László Bénes,SVK,"FW,MF",27.0,1997.0
Ramy Bensebaini,ALG,DF,29.0,1995.0
Mergim Berisha,GER,FW,26.0,1998.0
Alexander Bernhardsson,SWE,"DF,FW",26.0,1998.0
Matúš Bero,SVK,MF,29.0,1995.0
El Bilal Touré,MLI,FW,22.0,2001.0
Tom Bischof,GER,DF,19.0,2005.0
Leonardo Bittencourt,GER,MF,30.0,1993.0
Myron Boadu,NED,"FW,MF",23.0,2001.0
Sacha Boey,FRA,DF,24.0,2000.0
Victor Boniface,NGA,FW,23.0,2000.0
Sebastiaan Bornauw,BEL,DF,25.0,1999.0
Carlo Boukhalfa,MAR,MF,25.0,1999.0
Julian Brandt,GER,MF,28.0,1996.0
Tim Breithaupt,GER,MF,22.0,2002.0
Maximilian Breunig,GER,"FW,MF",24.0,2000.0
Moritz Broschinski,GER,FW,23.0,2000.0
Jacob Bruun Larsen,DEN,"DF,FW",25.0,1998.0
Marius Bülter,GER,FW,31.0,1993.0
Jonathan Burkardt,GER,FW,24.0,2000.0
Marnon Busch,GER,DF,29.0,1994.0
Anthony Caci,FRA,DF,27.0,1997.0
Emre Can,GER,"MF,DF",30.0,1994.0
Julian Chabot,GER,DF,26.0,1998.0
El Chadaille Bitshiabu,FRA,DF,19.0,2005.0
Fares Chaïbi,ALG,"FW,MF",21.0,2002.0
Anrie Chase,JPN,DF,20.0,2004.0
Fabio Chiarodia,ITA,DF,19.0,2005.0
Nnamdi Collins,GER,DF,20.0,2004.0
Kingsley Coman,FRA,"FW,MF",28.0,1996.0
Sirlord Conteh,GER,"FW,MF",28.0,1996.0
Yan Couto,BRA,DF,22.0,2002.0
Tomáš Čvančara,CZE,"MF,FW",24.0,2000.0
Bence Dárdai,GER,FW,18.0,2006.0
Lukas Daschner,GER,"MF,FW",25.0,1998.0
Alphonso Davies,CAN,DF,23.0,2000.0
Ermedin Demirović,BIH,FW,26.0,1998.0
Justin Diehl,GER,DF,19.0,2004.0
Eric Dier,ENG,DF,30.0,1994.0
Eren Dinkçi,GER,MF,22.0,2001.0
Ritsu Doan,JPN,FW,26.0,1998.0
Danilho Doekhi,NED,DF,26.0,1998.0
Niklas Dorsch,GER,MF,26.0,1998.0
Patrick Drewes,GER,GK,31.0,1993.0
Tim Drexler,GER,DF,19.0,2005.0
Marvin Ducksch,GER,FW,30.0,1994.0
Adam Dźwigała,POL,"DF,MF",28.0,1995.0
Johannes Eggestein,GER,FW,26.0,1998.0
Maximilian Eggestein,GER,MF,27.0,1996.0
Hugo Ekitike,FRA,FW,22.0,2002.0
Nico Elvedi,SUI,DF,27.0,1996.0
Arne Engels,BEL,"MF,FW",21.0,2003.0
Patrick Erras,GER,DF,29.0,1995.0
Samuel Essende,COD,FW,26.0,1998.0
Kilian Fischer,GER,DF,23.0,2000.0
Jonas Föhrenbach,GER,DF,28.0,1996.0
Marco Friedl,AUT,DF,26.0,1998.0
Jeremie Frimpong,NED,DF,23.0,2000.0
Chris Führich,GER,"FW,MF",26.0,1998.0
Aleix García,ESP,MF,27.0,1997.0
Lutsharel Geertruida,NED,DF,24.0,2000.0
Dennis Geiger,GER,MF,26.0,1998.0
Valentin Gendrey,FRA,FW,24.0,2000.0
Yannick Gerhardt,GER,"FW,MF",30.0,1994.0
Max Geschwill,GER,DF,23.0,2001.0
Dimitris Giannoulis,GRE,DF,28.0,1995.0
Armin Gigovic,BIH,MF,22.0,2002.0
Benedikt Gimber,GER,DF,27.0,1997.0
Matthias Ginter,GER,"DF,MF",30.0,1994.0
Jamie Gittens,ENG,"FW,DF",20.0,2004.0
Serge Gnabry,GER,"FW,MF",29.0,1995.0
Leon Goretzka,GER,DF,29.0,1995.0
Robin Gosens,GER,DF,30.0,1994.0
Mario Götze,GER,"FW,MF",32.0,1992.0
Jeffrey Gouweleeuw,NED,DF,33.0,1991.0
Kamil Grabara,POL,GK,25.0,1999.0
Vincenzo Grifo,ITA,FW,31.0,1993.0
Florian Grillitsch,AUT,MF,29.0,1995.0
Álex Grimaldo,ESP,DF,28.0,1995.0
Pascal Groß,GER,MF,33.0,1991.0
Marco Grüll,AUT,"MF,FW",26.0,1998.0
Raphaël Guerreiro,POR,DF,30.0,1993.0
Morgan Guilavogui,GUI,FW,26.0,1998.0
Serhou Guirassy,GUI,FW,28.0,1996.0
Péter Gulácsi,HUN,GK,34.0,1990.0
Christian Günter,GER,DF,31.0,1993.0
Janik Haberer,GER,"DF,MF",30.0,1994.0
Robin Hack,GER,FW,26.0,1998.0
Amadou Haidara,MLI,MF,26.0,1998.0
Andreas Hanche-Olsen,NOR,DF,27.0,1997.0
Ramon Hendriks,NED,DF,23.0,2001.0
Benjamin Henrichs,GER,DF,27.0,1997.0
Piero Hincapié,ECU,DF,22.0,2002.0
Adam Hložek,CZE,FW,22.0,2002.0
Nicolas Höfler,GER,MF,34.0,1990.0
Jonas Hofmann,GER,MF,32.0,1992.0
Philipp Hofmann,GER,FW,31.0,1993.0
Lucas Höler,GER,"MF,FW",30.0,1994.0
Benedict Hollerbach,GER,"MF,FW",23.0,2001.0
Lewis Holtby,GER,MF,34.0,1990.0
Franck Honorat,FRA,FW,28.0,1996.0
Mathias Honsak,AUT,"FW,MF",27.0,1996.0
Lukáš Hrádecký,FIN,GK,34.0,1989.0
Robin Hranáč,CZE,DF,24.0,2000.0
Hong Hyunseok,KOR,MF,25.0,1999.0
Oscar Højlund,DEN,MF,19.0,2005.0
Jackson Irvine,AUS,MF,31.0,1993.0
Ko Itakura,JPN,DF,27.0,1997.0
Marko Ivezić,SRB,DF,22.0,2001.0
Lee Jae-sung,KOR,MF,32.0,1992.0
Kristijan Jakić,CRO,MF,27.0,1997.0
Dominik Javorček,SVK,DF,21.0,2002.0
Fredrik Jensen,FIN,MF,27.0,1997.0
Moritz Jenz,GER,DF,25.0,1999.0
Carl Johansson,SWE,DF,30.0,1994.0
Anthony Jung,GER,DF,32.0,1991.0
Yusuf Kabadayı,GER,MF,20.0,2004.0
Pavel Kadeřábek,CZE,DF,32.0,1992.0
Jakub Kamiński,POL,DF,22.0,2002.0
Kevin Kampl,SVN,MF,33.0,1990.0
Harry Kane,ENG,FW,31.0,1993.0
Atakan Karazor,GER,MF,27.0,1996.0
Mikkel Kaufmann,DEN,FW,23.0,2001.0
Andu Kelati,GER,MF,22.0,2002.0
Aljoscha Kemlein,GER,MF,20.0,2004.0
Luca Kerber,GER,"MF,FW",22.0,2002.0
Rani Khedira,GER,MF,30.0,1994.0
Joshua Kimmich,GER,"MF,DF",29.0,1995.0
Tim Kleindienst,GER,FW,29.0,1995.0
Lukas Klostermann,GER,DF,28.0,1996.0
Ansgar Knauff,GER,"MF,FW",22.0,2002.0
Magnus Knudsen,NOR,MF,23.0,2001.0
Gregor Kobel,SUI,GK,26.0,1997.0
Robin Koch,GER,DF,28.0,1996.0
Derrick Köhn,GER,DF,25.0,1999.0
Dominik Kohr,GER,DF,30.0,1994.0
Marco Komenda,CRO,DF,27.0,1996.0
Mert Kömür,GER,MF,19.0,2005.0
Henri Koudossou,GER,DF,25.0,1999.0
Konstantinos Koulierakis,GRE,DF,20.0,2003.0
Matej Kovar,CZE,GK,24.0,2000.0
Andrej Kramarić,CRO,MF,33.0,1991.0
Frans Krätzig,GER,DF,21.0,2003.0
Rasmus Kristensen,DEN,"DF,MF",27.0,1997.0
Lukas Kübler,GER,DF,32.0,1992.0
Moritz-Broni Kwarteng,GHA,MF,26.0,1998.0
Nediljko Labrović,CRO,GK,24.0,1999.0
Konrad Laimer,AUT,"DF,MF",27.0,1997.0
Stefan Lainer,AUT,DF,32.0,1992.0
Hugo Larsson,SWE,MF,20.0,2004.0
Diogo Leite,POR,DF,25.0,1999.0
Maxim Leitsch,GER,DF,26.0,1998.0
Jamie Leweling,GER,"FW,MF",23.0,2001.0
Philipp Lienhart,AUT,DF,28.0,1996.0
Anthony Losilla,FRA,MF,38.0,1986.0
Castello Lukeba,FRA,DF,21.0,2002.0
Senne Lynen,BEL,MF,25.0,1999.0
Shuto Machino,JPN,"FW,MF",24.0,1999.0
Arne Maier,GER,MF,25.0,1999.0
Patrick Mainka,GER,DF,29.0,1994.0
Lovro Majer,CRO,MF,26.0,1998.0
Jordy Makengo,FRA,DF,23.0,2001.0
Julián Malatini,ARG,DF,23.0,2001.0
Donyell Malen,NED,"FW,DF",25.0,1999.0
Lennard Maloney,USA,MF,24.0,1999.0
Omar Marmoush,EGY,"FW,MF",25.0,1999.0
Erhan Mašović,SRB,DF,25.0,1998.0
Igor Matanovic,CRO,FW,21.0,2003.0
Keke Maximilian Topp,GER,"FW,MF",20.0,2004.0
Jakov Medić,CRO,DF,26.0,1998.0
Connor Metcalfe,AUS,MF,24.0,1999.0
Karol Mets,EST,DF,31.0,1993.0
Florian Micheler,AUT,MF,19.0,2005.0
Enzo Millot,FRA,"MF,FW",22.0,2002.0
Kim Min-jae,KOR,DF,27.0,1996.0
Maximilian Mittelstädt,GER,DF,27.0,1997.0
Koji Miyoshi,JPN,MF,27.0,1997.0
Max Moerstedt,GER,FW,0.0,0.0
Steve Mounié,BEN,FW,29.0,1994.0
Nordi Mukiele,FRA,DF,26.0,1997.0
Florian Müller,GER,GK,26.0,1997.0
Kevin Müller,GER,GK,33.0,1991.0
Thomas Müller,GER,MF,35.0,1989.0
Jamal Musiala,GER,MF,21.0,2003.0
Florent Muslija,KVX,MF,26.0,1998.0
Phillipp Mwene,AUT,DF,30.0,1994.0
Nathan N'Goumou,FRA,FW,24.0,2000.0
Stanley N'Soki,FRA,DF,25.0,1999.0
Paul Nebel,GER,DF,21.0,2002.0
Luca Netz,GER,DF,21.0,2003.0
Manuel Neuer,GER,GK,38.0,1986.0
Florian Neuhaus,GER,MF,27.0,1997.0
Justin Njinmah,GER,"MF,FW",23.0,2000.0
Niels Nkounkou,FRA,"MF,DF",23.0,2000.0
Felix Nmecha,GER,"MF,DF",23.0,2000.0
Alexander Nübel,GER,GK,27.0,1996.0
Antonio Nusa,NOR,MF,19.0,2005.0
Tim Oermann,GER,DF,20.0,2003.0
Ifechukwu Ogbus,SUI,DF,18.0,2005.0
Michael Olise,FRA,"FW,MF",22.0,2001.0
Jonas Omlin,SUI,GK,30.0,1994.0
Karim Onisiwo,AUT,"MF,FW",32.0,1992.0
Frank Onyeka,NGA,MF,26.0,1998.0
Loïs Openda,BEL,FW,24.0,2000.0
Willi Orban,HUN,DF,31.0,1992.0
Patrick Osterhage,GER,MF,24.0,2000.0
Salih Özcan,TUR,MF,26.0,1998.0
João Palhinha,POR,MF,29.0,1995.0
Mats Pannewig,GER,MF,19.0,2004.0
Felix Passlack,GER,DF,26.0,1998.0
Aleksandar Pavlovic,GER,MF,20.0,2004.0
Mads Pedersen,DEN,DF,28.0,1996.0
Jordan Pefok,USA,FW,28.0,1996.0
Benedikt Pichler,AUT,FW,27.0,1997.0
Marvin Pieringer,GER,"FW,MF",24.0,1999.0
Alassane Pléa,FRA,"FW,MF",31.0,1993.0
Finn Porath,GER,"DF,MF",27.0,1997.0
Yussuf Poulsen,DEN,FW,30.0,1994.0
Alexander Prass,AUT,DF,23.0,2001.0
Grischa Prömel,GER,MF,29.0,1995.0
Tymoteusz Puchacz,POL,DF,25.0,1999.0
Leopold Querfeld,AUT,DF,20.0,2003.0
David Raum,GER,DF,26.0,1998.0
Rocco Reitz,GER,MF,22.0,2002.0
Nicolai Remberg,GER,MF,24.0,2000.0
Elvis Rexhbeçaj,KVX,MF,26.0,1997.0
Gio Reyna,USA,MF,21.0,2002.0
Fabian Rieder,SUI,"MF,FW",22.0,2002.0
Lars Ritzka,GER,"DF,FW",26.0,1998.0
Merlin Röhl,GER,MF,22.0,2002.0
Lasse Rosenboom,GER,DF,22.0,2002.0
Max Rosenfelder,GER,DF,21.0,2003.0
Tom Rothe,GER,"DF,MF",19.0,2004.0
Anthony Rouault,FRA,DF,23.0,2001.0
Julian Ryerson,NOR,DF,26.0,1997.0
Frederik Rønnow,DEN,GK,32.0,1992.0
Elias Saad,TUN,"FW,MF",24.0,1999.0
Marcel Sabitzer,AUT,"MF,FW",30.0,1994.0
Manolis Saliakas,GRE,"MF,DF",28.0,1996.0
Roland Sallai,HUN,"FW,MF",27.0,1997.0
Philipp Sander,GER,MF,26.0,1998.0
Kaishu Sano,JPN,MF,23.0,2000.0
Kauã Santos,BRA,GK,21.0,2003.0
Joe Scally,USA,DF,21.0,2002.0
